,Disease1,Disease2,Sim_score
49762,D002545,D006311,0.2893390550942387
49763,D002545,D006312,0.2000301737959358
49764,D002545,D006313,0.312403974233807
49765,D002545,D006314,0.2090026870783776
49767,D002545,D006316,0.1882185522490761
49768,D002545,D006317,0.2193075163945165
49769,D002545,D006319,0.2482953322194962
49770,D002545,D006407,0.4893456213863564
49771,D002545,D006408,0.5177595414245671
49772,D002545,D006423,0.205391666
49773,D002545,D006429,0.2353157743628124
49774,D002545,D006501,0.3721445852911856
49775,D002545,D006527,0.3410103418795166
49776,D002545,D006610,0.2673739513368843
49777,D002545,D006623,0.3173059576773273
49778,D002545,D006685,0.2071053812845653
49779,D002545,D006712,0.3167934924897675
49780,D002545,D006732,0.2004287138966842
49781,D002545,D006816,0.3621624767075594
49782,D002545,D006832,0.1874228225761124
49783,D002545,D006849,0.4299185962034483
49784,D002545,D006850,0.3596635505428466
49785,D002545,D006930,0.2308705763151435
49786,D002545,D006941,0.1903140480441656
49787,D002545,D006948,0.2325772269740524
49788,D002545,D006964,0.3985112739606914
49789,D002545,D006966,0.3457697805692162
49790,D002545,D006970,0.2301974386826342
49791,D002545,D006987,0.2080745236478819
49792,D002545,D007018,0.3785660528665214
49793,D002545,D007024,0.3320943647317562
49794,D002545,D007027,0.4831030302678053
49795,D002545,D007029,0.4084342114088449
49796,D002545,D007088,0.2273839922185432
49797,D002545,D007177,0.3391470062061085
49798,D002545,D007319,0.230823265
49799,D002545,D007331,0.1810699187131047
49800,D002545,D007562,0.3655522691981177
49801,D002545,D007572,0.2349868319284316
49802,D002545,D007625,0.221775442396141
49803,D002545,D007647,0.3168083606972263
49804,D002545,D007706,0.3043749734524869
49805,D002545,D007729,0.2684051248709843
49806,D002545,D007805,0.218977302200331
49807,D002545,D007806,0.275634578
49808,D002545,D007849,0.3220306849854363
49809,D002545,D007859,0.2500207095368796
49810,D002545,D007888,0.3158148137505374
49811,D002545,D007926,0.3115528776246305
49812,D002545,D007965,0.3023700335624157
49813,D002545,D007966,0.3063229155384609
49814,D002545,D007968,0.3267663667881233
49815,D002545,D007969,0.4988713764420621
49816,D002545,D008216,0.2811740138877375
49817,D002545,D008337,0.2175953796559138
49818,D002545,D008338,0.1916578090029376
49819,D002545,D008375,0.3210478675126016
49820,D002545,D008440,0.1942480951687116
49821,D002545,D008446,0.2545050997872876
49822,D002545,D008538,0.3120624257061618
49823,D002545,D008556,0.1911527190966707
49824,D002545,D008569,0.2569413262455042
49825,D002545,D008577,0.2587328615363867
49826,D002545,D008579,0.2374863244672405
49827,D002545,D008580,0.1800244097458393
49828,D002545,D008581,0.4032735443093024
49829,D002545,D008582,0.3047434243678097
49830,D002545,D008583,0.2835187192066294
49831,D002545,D008584,0.2635397777896649
49832,D002545,D008585,0.3004352131461573
49833,D002545,D008586,0.2890611965917476
49834,D002545,D008587,0.3099400806444697
49835,D002545,D008588,0.2076142894874551
49836,D002545,D008590,0.3654125612498921
49837,D002545,D008591,0.2172470213819349
49838,D002545,D008607,0.2832401402327685
49839,D002545,D008831,0.2150436640755215
49840,D002545,D008881,0.4027435345890879
49841,D002545,D009069,0.4391922669665529
49842,D002545,D009072,0.4963685583243675
49843,D002545,D009081,0.3089020773271691
49844,D002545,D009103,0.2935950000022905
49845,D002545,D009120,0.2039422232177662
49846,D002545,D009122,0.2472460342018088
49847,D002545,D009123,0.2139671453325388
49848,D002545,D009127,0.201511514961688
49849,D002545,D009128,0.2245180543200152
49850,D002545,D009133,0.2385454686410342
49851,D002545,D009134,0.3096700741425759
49852,D002545,D009135,0.3112224511396514
49853,D002545,D009136,0.2515505009246547
49854,D002545,D009155,0.1889112879645593
49855,D002545,D009157,0.2377052193057454
49856,D002545,D009187,0.3626894970310595
49857,D002545,D009188,0.3065681665489241
49858,D002545,D009207,0.2368313163918909
49859,D002545,D009220,0.2573026240181401
49860,D002545,D009222,0.1977899798148618
49861,D002545,D009223,0.2124162475799157
49862,D002545,D009224,0.1875142358996878
49863,D002545,D009290,0.2126541561485541
49864,D002545,D009347,0.2887220188099702
49865,D002545,D009408,0.2565098479251125
49866,D002545,D009421,0.300980527
49867,D002545,D009423,0.3326266411394213
49868,D002545,D009436,0.2682432599162203
49869,D002545,D009437,0.2469204550219881
49870,D002545,D009443,0.2329566391662851
49871,D002545,D009444,0.1798928606126576
49872,D002545,D009455,0.2497478332934803
49873,D002545,D009456,0.2204013245963628
49874,D002545,D009459,0.3459319847454468
49875,D002545,D009461,0.3724528104814448
49876,D002545,D009464,0.218989554
49877,D002545,D009468,0.349917229
49878,D002545,D009471,0.2165459273313613
49879,D002545,D009472,0.2012399131957918
49880,D002545,D009477,0.2064587511204687
49881,D002545,D009494,0.2938835145425876
49882,D002545,D009542,0.3267390059865959
49883,D002545,D009759,0.2537821281272834
49884,D002545,D009800,0.2890716604070609
49885,D002545,D009849,0.3037394959953655
49886,D002545,D009886,0.2549885839630385
49887,D002545,D009896,0.2324098697742556
49888,D002545,D009901,0.2705231170715533
49889,D002545,D009902,0.2336689711296352
49890,D002545,D009917,0.2066571112868333
49891,D002545,D010211,0.219181876671774
49892,D002545,D010243,0.2880426037086895
49893,D002545,D010244,0.1917996717627947
49894,D002545,D010245,0.2021873769423249
49895,D002545,D010264,0.2379080977270417
49896,D002545,D010291,0.23606468977151
49897,D002545,D010292,0.2205055248768307
49898,D002545,D010300,0.4120622969611184
49899,D002545,D010301,0.309413709304173
49900,D002545,D010302,0.371999528
49901,D002545,D010468,0.2631144613913881
49902,D002545,D010523,0.317519029
49903,D002545,D010524,0.2826990349552116
49904,D002545,D010591,0.1979683840272259
49905,D002545,D010661,0.3574278914306244
49906,D002545,D010845,0.1793879254314448
49907,D002545,D010871,0.3317218959415369
49908,D002545,D010899,0.4638541188162287
49909,D002545,D010900,0.4469124929070152
49910,D002545,D010911,0.3822521447901283
49911,D002545,D011007,0.342372547038776
49912,D002545,D011051,0.3282605147794975
49913,D002545,D011052,0.2660535584119682
49914,D002545,D011115,0.2663576106616561
49915,D002545,D011128,0.2029560035680173
49916,D002545,D011129,0.2399240162209094
49917,D002545,D011218,0.2019239211422026
49918,D002545,D011304,0.1927084311903754
49919,D002545,D011557,0.2813719174032605
49920,D002545,D011559,0.3700022508110523
49921,D002545,D011595,0.2389023556495902
49922,D002545,D011596,0.2485566673487072
49923,D002545,D011681,0.2368570361096788
49924,D002545,D011782,0.2289411910015929
49925,D002545,D011843,0.2220341979386872
49926,D002545,D012001,0.179614521410627
49927,D002545,D012019,0.2124022217138826
49928,D002545,D012021,0.225292774
49929,D002545,D012035,0.2997714553051737
49930,D002545,D012133,0.2020231512972669
49931,D002545,D012148,0.2083507730292634
49932,D002545,D012202,0.3368505679644732
49933,D002545,D012415,0.174391053080058
49934,D002545,D012497,0.2937648436649259
49935,D002545,D012585,0.2133397895940885
49936,D002545,D012607,0.2080678370166158
49937,D002545,D012608,0.2946583166114534
49938,D002545,D012618,0.2585470672830303
49939,D002545,D012640,0.2732603942131059
49940,D002545,D012678,0.3170978421159617
49941,D002545,D012791,0.3382071177381901
49942,D002545,D012851,0.5131030101267328
49943,D002545,D012887,0.2581643702159178
49944,D002545,D012891,0.2547090312537777
49945,D002545,D012892,0.2280423597484981
49946,D002545,D012893,0.3022016459348383
49947,D002545,D013009,0.1822592034452954
49948,D002545,D013035,0.236305678877683
49949,D002545,D013036,0.3519315888231903
49950,D002545,D013064,0.2585237482525742
49951,D002545,D013106,0.3843087116422145
49952,D002545,D013117,0.3226212227608501
49953,D002545,D013118,0.425729521
49954,D002545,D013119,0.3638483627871803
49955,D002545,D013120,0.3265470318535125
49956,D002545,D013132,0.3874439756706915
49957,D002545,D013226,0.2287860532094513
49958,D002545,D013285,0.2674576096535489
49959,D002545,D013341,0.2966346358993387
49960,D002545,D013342,0.209877714315373
49961,D002545,D013344,0.3246467077462647
49962,D002545,D013345,0.5610841723968871
49963,D002545,D013349,0.6705489268206157
49964,D002545,D013353,0.3410697182959598
49965,D002545,D013354,0.2656565585089595
49966,D002545,D013494,0.3318274423337767
49967,D002545,D013547,0.1908295658990907
49968,D002545,D013575,0.2336723513823494
49969,D002545,D013595,0.3155446239095089
49970,D002545,D013606,0.2579640378413809
49971,D002545,D013631,0.177702564
49972,D002545,D013641,0.1799407899293508
49973,D002545,D013651,0.2111082350249792
49974,D002545,D013661,0.3142073381293696
49975,D002545,D013700,0.5035649708441319
49976,D002545,D013746,0.2056222369159717
49977,D002545,D013786,0.3664667706003409
49978,D002545,D013901,0.3347353851157367
49979,D002545,D013981,0.3331215934492008
49980,D002545,D014012,0.2231834576408475
49981,D002545,D014125,0.2831762240673114
49982,D002545,D014202,0.2456654122571704
49983,D002545,D014277,0.2200088332119393
49984,D002545,D014313,0.1988664764046203
49985,D002545,D014390,0.3029359677931923
49986,D002545,D014402,0.2133466080095901
49987,D002545,D014474,0.2695466521634158
49988,D002545,D014607,0.1978892482219999
49989,D002545,D014653,0.5077663378554578
49990,D002545,D014715,0.7268727014963503
49991,D002545,D014717,0.234220361
49992,D002545,D014786,0.2776192674995461
49993,D002545,D014826,0.2193583895004559
49994,D002545,D014832,0.2382056582525353
49995,D002545,D014854,0.6254007510489539
49996,D002545,D014884,0.2446068692440227
49997,D002545,D014899,0.3289727870543128
49998,D002545,D014901,0.334189045
49999,D002545,D014929,0.1801091943409399
50000,D002545,D015051,0.1966848606735895
50001,D002545,D015140,0.5128505870836074
50002,D002545,D015161,0.5980543638122852
50003,D002545,D015173,0.42955436
50004,D002545,D015174,0.2650635244872015
50005,D002545,D015175,0.3239187219326597
50006,D002545,D015192,0.3971130976871907
50007,D002545,D015211,0.2953986534025469
50008,D002545,D015324,0.2811337374280753
50009,D002545,D015325,0.2888747951630105
50010,D002545,D015354,0.2093739289580374
50011,D002545,D015417,0.2157650290062681
50012,D002545,D015418,0.2094862930885403
50013,D002545,D015419,0.1898035217873805
50014,D002545,D015493,0.2777819351370084
50015,D002545,D015518,0.201158130951805
50016,D002545,D015594,0.1819845966382483
50017,D002545,D015624,0.1844041731225286
50018,D002545,D015673,0.3013244394749901
50019,D002545,D015807,0.2027917225045444
50020,D002545,D015835,0.3840558375163459
50021,D002545,D015840,0.2317371501202457
50022,D002545,D015845,0.1906155936211434
50023,D002545,D015877,0.2174968135187495
50024,D002545,D016098,0.2552449937493933
50025,D002545,D016135,0.2337645024763602
50026,D002545,D016136,0.2037239758313578
50027,D002545,D016137,0.1718095565534184
50028,D002545,D016142,0.1904106301970478
50029,D002545,D016262,0.2592144455737385
50030,D002545,D016472,0.2663347131445182
50031,D002545,D016489,0.2430629991619405
50032,D002545,D016518,0.1861594243391106
50033,D002545,D016532,0.1831747384477238
50034,D002545,D016537,0.2929582360743271
50035,D002545,D016543,0.3129785312379027
50036,D002545,D016545,0.3291966822152382
50037,D002545,D016603,0.1740062202466107
50038,D002545,D016643,0.2903224282024804
50039,D002545,D016657,0.4787949626797189
50040,D002545,D016697,0.1765519330199446
50041,D002545,D016750,0.2709585193623056
50042,D002545,D016779,0.2804371803961182
50043,D002545,D016781,0.3175658992062116
50044,D002545,D016862,0.2596944773903228
50045,D002545,D016878,0.1847360672202033
50046,D002545,D016893,0.5579726336192234
50047,D002545,D016919,0.2791858265249392
50048,D002545,D016920,0.3486768105386014
50049,D002545,D016921,0.3003972694647701
50050,D002545,D017029,0.3438823812158678
50051,D002545,D017034,0.3308785463117852
50052,D002545,D017036,0.1690804992287806
50053,D002545,D017042,0.2756108999754557
50054,D002545,D017096,0.348630508
50055,D002545,D017237,0.3507289199883783
50056,D002545,D017240,0.2306549700947477
50057,D002545,D017241,0.4577165777164962
50058,D002545,D017243,0.2824946520869262
50059,D002545,D017246,0.207597003
50060,D002545,D017253,0.2354614657151374
50061,D002545,D017285,0.2385384242259695
50062,D002545,D017590,0.3234220914802403
50065,D002545,D017696,0.1801950414530974
50066,D002545,D017769,0.1932055327750196
50067,D002545,D017825,0.2885989600352735
50068,D002545,D017827,0.3051084777183923
50069,D002545,D018304,0.1853423307523039
50070,D002545,D018306,0.3101432969763352
50071,D002545,D018317,0.2737146093181172
50072,D002545,D018318,0.1769205385916891
50074,D002545,D018437,0.1741300181048365
50075,D002545,D018458,0.3483133692726651
50076,D002545,D018476,0.2122361285387193
50077,D002545,D018781,0.3460488312886527
50078,D002545,D018792,0.4050531263091679
50079,D002545,D018860,0.4638067064472864
50080,D002545,D018887,0.3102369706304956
50081,D002545,D018908,0.2355289638623895
50082,D002545,D018917,0.3265004444609342
50083,D002545,D018979,0.1926368920115422
50084,D002545,D018980,0.2311419935776496
50085,D002545,D019150,0.3726812244188594
50086,D002545,D019305,0.3178929672809449
50087,D002545,D019462,0.1958053604617526
50088,D002545,D019569,0.1899969052796905
50089,D002545,D019574,0.19466003073203
50090,D002545,D019578,0.3557498326383789
50091,D002545,D019585,0.3662551442201912
50092,D002545,D019586,0.4186186523010301
50093,D002545,D019636,0.3384310862589467
50094,D002545,D019846,0.3051870290269303
50095,D002545,D019954,0.3263651786244354
50096,D002545,D020019,0.2785901610953312
50097,D002545,D020078,0.1896117039346569
50098,D002545,D020140,0.403319053929869
50099,D002545,D020143,0.3333162747304337
50100,D002545,D020146,0.4223125680002597
50101,D002545,D020149,0.1957814595767604
50102,D002545,D020150,0.2613301289229824
50103,D002545,D020158,0.2902294334216116
50104,D002545,D020159,0.2928398021356719
50105,D002545,D020162,0.2855602284621603
50106,D002545,D020163,0.3116381114977417
50107,D002545,D020165,0.2744290898782995
50108,D002545,D020167,0.245745842259704
50109,D002545,D020176,0.3021636397929651
50111,D002545,D020178,0.2042946534318431
50112,D002545,D020179,0.173301473460034
50113,D002545,D020181,0.2354300388251856
50114,D002545,D020182,0.1902652115731666
50117,D002545,D020186,0.17836499188598
50118,D002545,D020187,0.1905887277225791
50120,D002545,D020189,0.1803656107245971
50121,D002545,D020190,0.3130241478280249
50122,D002545,D020191,0.3338629347748494
50123,D002545,D020192,0.2851161830061185
50124,D002545,D020194,0.2733266345575956
50125,D002545,D020195,0.3456241660032678
50126,D002545,D020196,0.3308249633480146
50127,D002545,D020197,0.1928906303138602
50128,D002545,D020198,0.5524128213214647
50129,D002545,D020199,0.4495998968213593
50130,D002545,D020200,0.4632018583972317
50131,D002545,D020202,0.4305524815389182
50132,D002545,D020203,0.3965794549255861
50135,D002545,D020206,0.4258457559569973
50137,D002545,D020209,0.2432902870428623
50138,D002545,D020210,0.2366786885388353
50139,D002545,D020212,0.5299911946820579
50140,D002545,D020214,0.5705489149776022
50141,D002545,D020215,0.468569315960104
50142,D002545,D020216,0.4435305519860527
50143,D002545,D020217,0.4813588222643866
50144,D002545,D020220,0.1990003846439346
50145,D002545,D020221,0.200594545266594
50146,D002545,D020225,0.4382223026859125
50147,D002545,D020226,0.4511301007126986
50148,D002545,D020227,0.4352916829279497
50149,D002545,D020232,0.304261251329455
50150,D002545,D020233,0.2315169091251875
50151,D002545,D020234,0.1903549174124904
50153,D002545,D020238,0.1798425791926276
50154,D002545,D020241,0.271619482938164
50155,D002545,D020242,0.2731372509651532
50156,D002545,D020243,0.5807897805926514
50157,D002545,D020244,0.67261561
50158,D002545,D020258,0.2776423268294723
50159,D002545,D020260,0.2398871011347623
50160,D002545,D020262,0.1958356569196167
50161,D002545,D020263,0.1861827839791244
50164,D002545,D020267,0.3246056335391503
50165,D002545,D020271,0.2938091250181209
50166,D002545,D020275,0.2147918700862715
50167,D002545,D020277,0.1921285717292904
50168,D002545,D020278,0.4376699842371392
50169,D002545,D020279,0.3566424909050638
50170,D002545,D020288,0.2986768333516119
50171,D002545,D020293,0.5550867569454941
50172,D002545,D020294,0.1814802468147479
50173,D002545,D020295,0.3354344557422565
50174,D002545,D020299,0.4649443256756728
50175,D002545,D020300,0.629859605
50176,D002545,D020301,0.5499007664323994
50177,D002545,D020306,0.3248233504704837
50178,D002545,D020314,0.3209026990960792
50179,D002545,D020323,0.2064378134522115
50180,D002545,D020325,0.3370821342066462
50181,D002545,D020326,0.3201413705824547
50182,D002545,D020329,0.3018565499807785
50183,D002545,D020331,0.1724520281157984
50184,D002545,D020333,0.1922156847443855
50185,D002545,D020335,0.2015847618877414
50186,D002545,D020336,0.1776284699190884
50187,D002545,D020338,0.1851540892787817
50188,D002545,D020339,0.1707385536632306
50189,D002545,D020343,0.3641391762344828
50190,D002545,D020361,0.2392871160566091
50191,D002545,D020362,0.3031014719791788
50192,D002545,D020363,0.312050685
50194,D002545,D020371,0.2872761155607122
50196,D002545,D020386,0.1718914649416784
50197,D002545,D020388,0.2128170073723539
50198,D002545,D020389,0.1736772140460826
50199,D002545,D020391,0.18336781
50200,D002545,D020417,0.193333834
50201,D002545,D020421,0.2497276478735666
50202,D002545,D020422,0.2648826561417247
50203,D002545,D020423,0.2397392895129807
50204,D002545,D020424,0.210685249155619
50205,D002545,D020425,0.1818138362099908
50206,D002545,D020426,0.233835250917558
50207,D002545,D020427,0.1850065193581425
50208,D002545,D020428,0.1744360177118412
50209,D002545,D020429,0.1963339892602702
50210,D002545,D020430,0.1752622480102877
50211,D002545,D020431,0.2097296191734284
50212,D002545,D020432,0.1910672085942639
50213,D002545,D020433,0.2390721442192563
50214,D002545,D020435,0.1920783633568349
50215,D002545,D020437,0.2018114109649807
50216,D002545,D020447,0.2406173416263179
50217,D002545,D020511,0.2645381967089232
50220,D002545,D020514,0.1768679019860622
50221,D002545,D020521,0.6639308245094282
50222,D002545,D020526,0.6643395960632029
50223,D002545,D020528,0.2282725461532938
50224,D002545,D020529,0.2463614741568912
50225,D002545,D020720,0.1692862717590958
50226,D002545,D020721,0.2490917558073754
50227,D002545,D020734,0.4472573250778889
50228,D002545,D020752,0.2690144894629742
50229,D002545,D020754,0.3561490502794461
50230,D002545,D020758,0.3667095227414996
50231,D002545,D020760,0.3380682702738364
50232,D002545,D020762,0.5833801736899106
50233,D002545,D020765,0.6534631414160952
50234,D002545,D020766,0.5269891512528276
50235,D002545,D020767,0.5438648494664806
50236,D002545,D020773,0.4625357048229436
50237,D002545,D020774,0.3067296625449467
50238,D002545,D020779,0.1972593270463574
50239,D002545,D020785,0.295703416746731
50240,D002545,D020786,0.2921083339391122
50241,D002545,D020787,0.1933230153805763
50242,D002545,D020795,0.1849463709586716
50243,D002545,D020802,0.2717895070190961
50244,D002545,D020803,0.3165062292070543
50245,D002545,D020804,0.2868987771155566
50246,D002545,D020805,0.3783287397945248
50247,D002545,D020806,0.3732164276213647
50248,D002545,D020807,0.3450981962686987
50249,D002545,D020808,0.3212912843417296
50250,D002545,D020809,0.3030963510643416
50251,D002545,D020814,0.237436996379909
50252,D002545,D020818,0.234436493
50253,D002545,D020819,0.319830588445099
50254,D002545,D020820,0.3908819056790216
50255,D002545,D020821,0.3369543806136935
50257,D002545,D020833,0.3204027937741435
50258,D002545,D020852,0.2622086684904294
50259,D002545,D020863,0.2200505103481257
50260,D002545,D020879,0.284409754
50261,D002545,D020886,0.2580742394003317
50262,D002545,D020914,0.2048414438057364
50263,D002545,D020915,0.1799567107665138
50264,D002545,D020918,0.2321351591080597
50265,D002545,D020919,0.2775591563778394
50266,D002545,D020920,0.2897466282204203
50267,D002545,D020921,0.1997076165614947
50269,D002545,D020923,0.2062195502288556
50270,D002545,D020925,0.7038294309347831
50271,D002545,D020936,0.3143272458387726
50272,D002545,D020937,0.2832227462880309
50273,D002545,D020938,0.2916205410669675
50275,D002545,D020945,0.4409741840816011
50276,D002545,D020953,0.2485701286760365
50277,D002545,D020955,0.2758347286378705
50278,D002545,D020961,0.3417532038371357
50279,D002545,D020966,0.2671772125389517
50280,D002545,D020967,0.2361408550916211
50281,D002545,D021081,0.2414431912984273
50282,D002545,D024801,0.2945295605501716
50283,D002545,D025962,0.173556082632901
50284,D002545,D028243,0.3365875711694587
50286,D002545,D029242,0.1838788127810704
50287,D002545,D029461,0.269715337
50288,D002545,D034062,0.2351750763887773
50289,D002545,D034081,0.2576898165187394
50290,D002545,D034381,0.2768575166584464
50291,D002545,D038223,0.2158228233413843
50292,D002545,D038642,0.2255825751783688
50293,D002545,D038901,0.2426482760742577
50296,D002545,D046088,0.1836849017063917
50297,D002545,D046089,0.1713750640870683
50298,D002545,D046589,0.435757891
50299,D002545,D046608,0.1839677655897266
50300,D002545,D046648,0.4314721261060971
50301,D002545,D047748,0.3279593222419842
50302,D002545,D049288,0.1879234666193009
50303,D002545,D049290,0.2059671602907546
50304,D002545,D049310,0.1679690523040072
50305,D002545,D049912,0.2973838032957169
50306,D002545,D050798,0.2902067028707132
50307,D002545,D051270,0.433800618
50308,D002545,D051271,0.3762926875566235
50309,D002545,D051298,0.312716831371314
50310,D002545,D051299,0.3215755708444147
50311,D002545,D051302,0.285469997865123
50312,D002545,D051303,0.3676455596407039
50313,D002545,D051474,0.1897139164414907
50314,D002545,D052120,0.1905719064401871
50315,D002545,D052245,0.1708083949755066
50316,D002545,D052516,0.3278050531240294
50317,D002545,D052517,0.2484014517363434
50318,D002545,D052536,0.2539636691877738
50319,D002545,D052537,0.2594378699537513
50320,D002545,D052556,0.2960062820543827
50321,D002545,D052879,0.2360430458040243
50322,D002545,D052880,0.1720787404286302
50323,D002545,D052919,0.2445581650318884
50325,D002545,D053421,0.2917165816279882
50326,D002545,D053578,0.2369171911694314
50327,D002545,D053608,0.1844251037345162
50328,D002545,D053609,0.1798570074362589
50329,D002545,D054000,0.1713556350106874
50330,D002545,D054038,0.3298997577624297
50331,D002545,D054062,0.1944029455404772
50332,D002545,D054078,0.2729455805282822
50333,D002545,D054080,0.4237405326252905
50334,D002545,D054081,0.2029562300143246
50335,D002545,D054082,0.1889657403323597
50337,D002545,D054220,0.2607150618981579
50339,D002545,D054222,0.1682402963630529
50340,D002545,D054319,0.2893868326043678
50341,D002545,D054546,0.2332579353154547
50342,D002545,D054969,0.2625386990785301
50344,D002545,D054971,0.2386002834897442
50345,D002545,D054972,0.1752702283188064
50346,D002545,D054975,0.244770326450063
50347,D002545,D055154,0.1969761672795649
50348,D002545,D055534,0.2353466159650933
50349,D002545,D055577,0.2527104449875742
50351,D002545,D055756,0.180024217
50352,D002545,D055948,0.207054595586702
50353,D002545,D055952,0.2695658008236177
50354,D002545,D055953,0.4548528072315448
50355,D002545,D055955,0.4180516287870679
50356,D002545,D055956,0.2525703335058985
50360,D002545,D056784,0.4803220764357215
50361,D002545,D056806,0.3423586444095537
50364,D002545,D057174,0.3659258777986551
50365,D002545,D057177,0.2620064780407373
50366,D002545,D057178,0.2708975649521478
50367,D002545,D057180,0.3452153615084159
50368,D002545,D057774,0.2551712851782763
50369,D002545,D058088,0.1774415954589872
50373,D002545,D058565,0.2960806518294391
50374,D002545,D058627,0.1731943891446086
50377,D002545,D059345,0.5851789016856206
50378,D002545,D059348,0.2231096819450579
50379,D002545,D059409,0.4764696970776878
50380,D002545,D060486,0.2567630191181891
50384,D002545,D061220,0.1718728101178876
50385,D002545,D061221,0.1985126365490397
50386,D002545,D061222,0.1731637255416193
50387,D002545,D061223,0.2124099313658816
50388,D002545,D061224,0.200888596618674
50389,D002545,D061226,0.1868345704569557
50390,D002545,D061228,0.1696709068799307
50394,D002545,D063205,0.2424207510694035
50395,D002545,D063806,0.1939245384866535
50396,D002545,D064128,0.2813258604995902
50397,D002545,D065166,0.3105014291150728
50398,D002545,D065306,0.2109683131349491
50399,D002545,D065634,0.2267010580622013
50400,D002545,D065703,0.2467623005547329
50401,D002545,D065704,0.1780936714058157
50406,D002545,D065768,0.3017324454809109
50407,D002546,D000160,0.2054743758462115
50409,D002546,D000857,0.1774151953134138
50410,D002546,D001750,0.1870059923105968
50411,D002546,D002527,0.24783671090259
50412,D002546,D003294,0.1731412302909298
50413,D002546,D004684,0.2487104692695535
50414,D002546,D005879,0.2994392281251595
50415,D002546,D006211,0.2609138417412102
50416,D002546,D006623,0.2691747898638904
50417,D002546,D007319,0.189855275624126
50418,D002546,D007572,0.193725291
50419,D002546,D007625,0.1810786296307621
50420,D002546,D007647,0.2693552029348454
50421,D002546,D007706,0.2577481784920038
50422,D002546,D007729,0.22462101150265
50423,D002546,D007805,0.1790667029064704
50424,D002546,D007806,0.2300730726243169
50425,D002546,D007849,0.2731896483068827
50426,D002546,D007859,0.2073873327664982
50427,D002546,D007888,0.2672941248227818
50428,D002546,D007926,0.2640181984151192
50429,D002546,D007965,0.2548717755519545
50430,D002546,D007966,0.2580864256026213
50431,D002546,D007968,0.277158402
50432,D002546,D007969,0.433628498457506
50433,D002546,D008216,0.2361679717982156
50434,D002546,D008337,0.1777631532576847
50436,D002546,D008375,0.2718384673245245
50438,D002546,D008446,0.2113873677469918
50439,D002546,D008538,0.2639415695021972
50441,D002546,D008569,0.2139332784061272
50442,D002546,D008577,0.2155312212546202
50443,D002546,D008579,0.1962161473772221
50445,D002546,D008581,0.3469636212560308
50446,D002546,D008582,0.2583877698017523
50447,D002546,D008583,0.2383222150553705
50448,D002546,D008584,0.2200851308407268
50449,D002546,D008585,0.2535652065986173
50450,D002546,D008586,0.2433343271584183
50451,D002546,D008587,0.2624194404133383
50452,D002546,D008588,0.1691761545012974
50453,D002546,D008590,0.3124704410022921
50454,D002546,D008591,0.1779647885442506
50455,D002546,D008831,0.1757863854900087
50456,D002546,D008881,0.3437324978397621
50457,D002546,D009069,0.3771377845619615
50458,D002546,D009072,0.4272360624110339
50459,D002546,D009081,0.2608336913243284
50460,D002546,D009103,0.2439829188994672
50462,D002546,D009122,0.2052454179190992
50463,D002546,D009123,0.1749485227992968
50465,D002546,D009128,0.1844517363073727
50466,D002546,D009133,0.1974140756789698
50467,D002546,D009134,0.2628930271271652
50468,D002546,D009135,0.2619727837055643
50469,D002546,D009136,0.2088045917591204
50471,D002546,D009157,0.1966502584422729
50472,D002546,D009187,0.3097573726323073
50473,D002546,D009188,0.2585904370175148
50474,D002546,D009207,0.1946378511325506
50475,D002546,D009220,0.2142571711878058
50477,D002546,D009223,0.1733118067064099
50479,D002546,D009290,0.1731381969305973
50480,D002546,D009347,0.2414782406889238
50481,D002546,D009408,0.2135575360376507
50482,D002546,D009421,0.2541597830150234
50483,D002546,D009423,0.2811467152572562
50484,D002546,D009436,0.2245382730713808
50485,D002546,D009437,0.2049585031152863
50486,D002546,D009443,0.1923055936372323
50488,D002546,D009455,0.2069954301863862
50489,D002546,D009456,0.1805532801026187
50490,D002546,D009459,0.2948704539026868
50491,D002546,D009461,0.3137392492736591
50492,D002546,D009464,0.1793582568456687
50493,D002546,D009468,0.2963071697077138
50494,D002546,D009471,0.1750148554963959
50496,D002546,D009494,0.2482707068359191
50497,D002546,D009542,0.2766679907827064
50498,D002546,D009759,0.2107403519326807
50499,D002546,D009800,0.2436535335612531
50500,D002546,D009849,0.256653334051893
50501,D002546,D009886,0.2119319289838294
50502,D002546,D009896,0.1918227699448495
50503,D002546,D009901,0.22657724560263
50504,D002546,D009902,0.1929675128247543
50506,D002546,D010211,0.1797365140177034
50507,D002546,D010243,0.2419599809795273
50509,D002546,D010264,0.1968159275782086
50510,D002546,D010291,0.1956033713075872
50511,D002546,D010292,0.1806658561449177
50512,D002546,D010300,0.3519411235302663
50513,D002546,D010301,0.259815147102736
50514,D002546,D010302,0.3169031562990114
50515,D002546,D010468,0.2194293017905941
50516,D002546,D010523,0.2675326333785296
50517,D002546,D010524,0.2366164745205132
50519,D002546,D010661,0.3044820051593274
50521,D002546,D010871,0.2824982941717538
50522,D002546,D010899,0.4007002471296911
50523,D002546,D010900,0.3829886799854002
50524,D002546,D010911,0.3257719464837619
50525,D002546,D011007,0.2915421300333933
50526,D002546,D011051,0.2787964395739432
50527,D002546,D011052,0.2223974815506403
50528,D002546,D011115,0.2223268092578438
50530,D002546,D011129,0.1984098687938802
50533,D002546,D011557,0.23676737664531
50534,D002546,D011559,0.3161207820804081
