Disease,Drug
D006970,DB00589
D006970,DB00186
D006970,DB00934
D006970,DB01065
D006970,DB00454
D006970,DB00333
D006970,DB00703
D006970,DB00563
D006970,DB00422
D006970,DB01233
D006970,DB00916
D006970,DB00683
D006970,DB00745
D006970,DB00295
D006970,DB00788
D006970,DB00334
D006970,DB00338
D006970,DB00776
D006970,DB00497
D006970,DB01192
D006970,DB00213
D006970,DB00715
D006970,DB00652
D006970,DB00312
D006970,DB01186
D006970,DB00780
D006970,DB01174
D006970,DB00252
D006970,DB00981
D006970,DB01324
D006970,DB00413
D006970,DB00635
D006970,DB00230
D006970,DB01069
D006970,DB00571
D006970,DB00852
D006970,DB00734
D006970,DB00503
D006970,DB00268
D006970,DB00747
D006970,DB00669
D006970,DB01041
D006970,DB00599
D006970,DB00679
D006970,DB00697
D006970,DB00273
D006970,DB00193
D006970,DB00752
D006970,DB00313
D006970,DB01080
D006970,DB00541
D006970,DB01392
D006970,DB00425
D049310,DB01076
D004314,DB01394
D004314,DB00252
D004314,DB00734
D004370,DB01041
D004401,DB00787
D004401,DB00770
D004401,DB01076
D004401,DB00995
D004401,DB00443
D004401,DB00810
D004401,DB00297
D004401,DB00564
D004401,DB00438
D004401,DB00477
D004401,DB00537
D004401,DB00363
D004401,DB09130
D004401,DB00987
D004401,DB00829
D004401,DB00586
D004401,DB01075
D004401,DB00822
D004401,DB00668
D004401,DB01195
D004401,DB00176
D004401,DB00695
D004401,DB00502
D004401,DB00762
D004401,DB00270
D004401,DB01026
D004401,DB00367
D004401,DB00281
D004401,DB14509
D004401,DB00678
D004401,DB00227
D004401,DB00454
D004401,DB00961
D004401,DB00371
D004401,DB00933
D004401,DB00331
D004401,DB00563
D004401,DB01233
D004401,DB00916
D004401,DB00683
D004401,DB01017
D004401,DB01115
D004401,DB01595
D004401,DB01165
D004401,DB00715
D004401,DB00252
D004401,DB00175
D004401,DB00433
D004401,DB00165
D004401,DB00863
D004401,DB00734
D004401,DB00296
D004401,DB00747
D004401,DB01104
D004401,DB00641
D004401,DB00864
D004401,DB00679
D004401,DB00208
D004401,DB01056
D004401,DB00273
D004401,DB00656
D004401,DB00831
D004401,DB00376
D004401,DB00313
D004401,DB00661
D004401,DB00541
D004408,DB00819
D004408,DB00381
D004408,DB00993
D004408,DB00207
D004408,DB00343
D004408,DB00975
D004408,DB01248
D004408,DB00584
D004408,DB00813
D004408,DB00281
D004408,DB14509
D004408,DB00678
D004408,DB01115
D004408,DB01229
D004408,DB00550
D004408,DB06217
D004408,DB01593
D004409,DB00770
D004409,DB00915
D004409,DB01118
D004409,DB06288
D004409,DB00321
D004409,DB00543
D004409,DB00182
D004409,DB00714
D004409,DB01238
D004409,DB00995
D004409,DB00181
D004409,DB12783
D004409,DB00810
D004409,DB01200
D004409,DB00835
D004409,DB01156
D004409,DB00490
D004409,DB00248
D004409,DB00201
D004409,DB00564
D004409,DB00190
D004409,DB01212
D004409,DB01112
D004409,DB01114
D004409,DB00477
D004409,DB00501
D004409,DB00215
D004409,DB01407
D004409,DB01242
D004409,DB01068
D004409,DB00575
D004409,DB00363
D004409,DB00907
D004409,DB00148
D004409,DB00091
D004409,DB01151
D004409,DB01576
D004409,DB00514
D004409,DB00829
D004409,DB00343
D004409,DB00917
D004409,DB01075
D004409,DB00975
D004409,DB00988
D004409,DB00450
D004409,DB00494
D004409,DB00593
D004409,DB00949
D004409,DB00574
D004409,DB04841
D004409,DB00472
D004409,DB00623
D004409,DB00996
D004409,DB00143
D004409,DB00502
D004409,DB00328
D004409,DB11757
D004409,DB01202
D004409,DB01235
D004409,DB00589
D004409,DB14509
D004409,DB00653
D004409,DB00657
D004409,DB00603
D004409,DB01065
D004409,DB01043
D004409,DB00454
D004409,DB00331
D004409,DB00333
D004409,DB01403
D004409,DB05246
D004409,DB00422
D004409,DB00247
D004409,DB01233
D004409,DB00683
D004409,DB00370
D004409,DB01618
D004409,DB00295
D004409,DB00486
D004409,DB01183
D004409,DB00704
D004409,DB00184
D004409,DB01115
D004409,DB00393
D004409,DB04821
D004409,DB00368
D004409,DB00334
D004409,DB00904
D004409,DB01173
D004409,DB01113
D004409,DB01626
D004409,DB00715
D004409,DB01186
D004409,DB00850
D004409,DB00780
D004409,DB01174
D004409,DB00252
D004409,DB00981
D004409,DB05316
D004409,DB01100
D004409,DB00413
D004409,DB00794
D004409,DB00433
D004409,DB00387
D004409,DB00392
D004409,DB00396
D004409,DB01069
D004409,DB00818
D004409,DB00571
D004409,DB00409
D004409,DB00206
D004409,DB00740
D004409,DB06155
D004409,DB00734
D004409,DB00268
D004409,DB01698
D004409,DB00747
D004409,DB01037
D004409,DB01082
D004409,DB00391
D004409,DB08329
D004409,DB00382
D004409,DB00864
D004409,DB00675
D004409,DB00624
D004409,DB04844
D004409,DB00277
D004409,DB00372
D004409,DB00679
D004409,DB00323
D004409,DB00273
D004409,DB00656
D004409,DB00897
D004409,DB00831
D004409,DB00376
D004409,DB01273
D004409,DB00661
D004409,DB01392
D020820,DB00915
D020820,DB01118
D020820,DB00182
D020820,DB00714
D020820,DB00572
D020820,DB00181
D020820,DB01200
D020820,DB00490
D020820,DB00564
D020820,DB00477
D020820,DB01239
D020820,DB01068
D020820,DB00363
D020820,DB00260
D020820,DB01151
D020820,DB01576
D020820,DB00829
D020820,DB01075
D020820,DB00898
D020820,DB00593
D020820,DB00292
D020820,DB00813
D020820,DB04841
D020820,DB00690
D020820,DB00996
D020820,DB00502
D020820,DB01181
D020820,DB01592
D020820,DB00951
D020820,DB11757
D020820,DB01221
D020820,DB01026
D020820,DB01235
D020820,DB00589
D020820,DB14509
D020820,DB00657
D020820,DB00371
D020820,DB00331
D020820,DB00370
D020820,DB00627
D020820,DB01115
D020820,DB00776
D020820,DB01186
D020820,DB00850
D020820,DB01174
D020820,DB00252
D020820,DB00413
D020820,DB00230
D020820,DB00433
D020820,DB01367
D020820,DB00206
D020820,DB04844
D020820,DB00599
D020820,DB00679
D020820,DB01607
D020820,DB00313
D020820,DB01080
D055154,DB00459
D055154,DB00443
D055154,DB01222
D055154,DB00537
D055154,DB01234
D055154,DB00390
D055154,DB00320
D055154,DB00472
D055154,DB00709
D055154,DB00281
D055154,DB00959
D055154,DB00334
D055154,DB00715
D055154,DB00790
D055154,DB00376
D055154,DB00313
D055154,DB00541
D055154,DB00246
D020920,DB00509
D020920,DB00502
D020920,DB00328
D020920,DB00960
D020920,DB00734
D020920,DB11094
D004421,DB00819
D004421,DB00802
D004421,DB06288
D004421,DB00321
D004421,DB01351
D004421,DB00543
D004421,DB00182
D004421,DB00714
D004421,DB01238
D004421,DB00181
D004421,DB06698
D004421,DB01019
D004421,DB00810
D004421,DB01558
D004421,DB01200
D004421,DB01156
D004421,DB00490
D004421,DB09061
D004421,DB01101
D004421,DB00564
D004421,DB01413
D004421,DB00341
D004421,DB00608
D004421,DB00477
D004421,DB00501
D004421,DB00604
D004421,DB00215
D004421,DB01242
D004421,DB01068
D004421,DB00363
D004421,DB00907
D004421,DB00318
D004421,DB01176
D004421,DB01234
D004421,DB01576
D004421,DB00514
D004421,DB00829
D004421,DB01075
D004421,DB00822
D004421,DB01184
D004421,DB00843
D004421,DB01142
D004421,DB00450
D004421,DB06262
D004421,DB00494
D004421,DB00696
D004421,DB00773
D004421,DB00813
D004421,DB01205
D004421,DB00472
D004421,DB00623
D004421,DB04842
D004421,DB00176
D004421,DB00529
D004421,DB00996
D004421,DB00674
D004421,DB01018
D004421,DB00502
D004421,DB01221
D004421,DB00709
D004421,DB00555
D004421,DB01235
D004421,DB00589
D004421,DB14509
D004421,DB00186
D004421,DB00408
D004421,DB00454
D004421,DB00933
D004421,DB01403
D004421,DB09241
D004421,DB00422
D004421,DB00247
D004421,DB01233
D004421,DB00916
D004421,DB06148
D004421,DB00683
D004421,DB00211
D004421,DB00370
D004421,DB00184
D004421,DB00368
D004421,DB00334
D004421,DB00904
D004421,DB01173
D004421,DB01626
D004421,DB00715
D004421,DB01186
D004421,DB04930
D004421,DB00850
D004421,DB00780
D004421,DB01174
D004421,DB00397
D004421,DB00252
D004421,DB00981
D004421,DB01100
D004421,DB00413
D004421,DB00433
D004421,DB00387
D004421,DB01069
D004421,DB00818
D004421,DB00571
D004421,DB00165
D004421,DB00468
D004421,DB00863
D004421,DB00734
D004421,DB00989
D004421,DB01104
D004421,DB01236
D004421,DB00202
D004421,DB00391
D004421,DB00669
D004421,DB04844
D004421,DB00372
D004421,DB00599
D004421,DB00679
D004421,DB01623
D004421,DB00656
D004421,DB00831
D004421,DB00376
D004421,DB00313
D004421,DB00246
D004422,DB00502
D004422,DB00387
D004422,DB04844
D020821,DB00810
D020821,DB00490
D020821,DB00477
D020821,DB00215
D020821,DB01068
D020821,DB00363
D020821,DB00829
D020821,DB01075
D020821,DB00843
D020821,DB00450
D020821,DB00623
D020821,DB00502
D020821,DB14509
D020821,DB01233
D020821,DB00683
D020821,DB00184
D020821,DB00334
D020821,DB00981
D020821,DB00433
D020821,DB01069
D020821,DB00818
D020821,DB00734
D020821,DB00989
D020821,DB04844
D020821,DB00376
D020821,DB01080
D020821,DB00246
D004454,DB00422
D004454,DB01165
D004652,DB01200
D004660,DB00787
D004660,DB09121
D004660,DB00355
D004660,DB00987
D004660,DB00711
D004660,DB04173
D004660,DB01004
D004660,DB00400
D004660,DB00677
D004660,DB00848
D004660,DB01065
D004660,DB00563
D004660,DB00738
D004660,DB00981
D004660,DB01069
D004660,DB00205
D004660,DB00359
D004660,DB00864
D004660,DB00152
D004660,DB00440
D020803,DB00787
D020803,DB00445
D020803,DB00529
D018792,DB00787
D004677,DB00987
D004677,DB00794
D004677,DB01041
D004678,DB00515
D004678,DB00907
D004678,DB00997
D004678,DB00471
D004679,DB00563
D004673,DB00907
D004673,DB00959
D004673,DB00295
D004681,DB00182
D004681,DB14083
D004681,DB00136
D004681,DB09061
D004681,DB00564
D004681,DB00907
D004681,DB00531
D004681,DB01234
D004681,DB00783
D004681,DB04573
D004681,DB04854
D004681,DB01195
D004681,DB00741
D004681,DB00959
D004681,DB01017
D004681,DB01204
D004681,DB00435
D004681,DB00252
D004681,DB00860
D004681,DB00396
D004681,DB01045
D004681,DB00864
D004681,DB00675
D004685,DB01065
D016603,DB00448
D016603,DB01065
D016603,DB00635
D020802,DB01413
D020802,DB00828
D020802,DB00916
D020802,DB01017
D017036,DB00252
D004831,DB00787
D004831,DB00182
D004831,DB00714
D004831,DB00572
D004831,DB09061
D004831,DB00564
D004831,DB01068
D004831,DB00575
D004831,DB00363
D004831,DB00829
D004831,DB00586
D004831,DB00996
D004831,DB00327
D004831,DB00951
D004831,DB01221
D004831,DB00555
D004831,DB01202
D004831,DB01235
D004831,DB14509
D004831,DB00683
D004831,DB00295
D004831,DB01183
D004831,DB00776
D004831,DB01174
D004831,DB00252
D004831,DB00981
D004831,DB00860
D004831,DB01182
D004831,DB00624
D004831,DB00313
D004831,DB00909
D004828,DB01061
D004828,DB00564
D004828,DB00493
D004828,DB01068
D004828,DB00363
D004828,DB00829
D004828,DB00593
D004828,DB00949
D004828,DB00555
D004828,DB01202
D004828,DB14509
D004828,DB00563
D004828,DB00776
D004828,DB01174
D004828,DB00252
D004828,DB01085
D004828,DB00794
D004828,DB08329
D004828,DB00906
D004828,DB00273
D004828,DB00347
D004828,DB00313
D004828,DB00661
D004828,DB01080
D004828,DB00909
D004827,DB00819
D004827,DB00640
D004827,DB00802
D004827,DB00321
D004827,DB00182
D004827,DB00415
D004827,DB00572
D004827,DB00993
D004827,DB05541
D004827,DB00564
D004827,DB00446
D004827,DB00501
D004827,DB00537
D004827,DB00515
D004827,DB00215
D004827,DB01068
D004827,DB00575
D004827,DB01147
D004827,DB00363
D004827,DB00987
D004827,DB01234
D004827,DB01576
D004827,DB00829
D004827,DB00985
D004827,DB00470
D004827,DB00467
D004827,DB00668
D004827,DB00199
D004827,DB00593
D004827,DB00773
D004827,DB00949
D004827,DB01205
D004827,DB00472
D004827,DB00176
D004827,DB00158
D004827,DB00996
D004827,DB02530
D004827,DB00400
D004827,DB00502
D004827,DB01181
D004827,DB00458
D004827,DB01221
D004827,DB01026
D004827,DB00555
D004827,DB01202
D004827,DB00281
D004827,DB00934
D004827,DB00532
D004827,DB00610
D004827,DB00763
D004827,DB00474
D004827,DB00563
D004827,DB00948
D004827,DB00683
D004827,DB00295
D004827,DB01183
D004827,DB04743
D004827,DB01595
D004827,DB00368
D004827,DB00776
D004827,DB00487
D004827,DB00312
D004827,DB08883
D004827,DB00850
D004827,DB01174
D004827,DB00692
D004827,DB00252
D004827,DB01085
D004827,DB11642
D004827,DB00230
D004827,DB00794
D004827,DB00818
D004827,DB00344
D004827,DB06201
D004827,DB01236
D004827,DB09118
D004827,DB08329
D004827,DB01041
D004827,DB00273
D004827,DB00347
D004827,DB00313
D004827,DB01080
D004827,DB00909
D004832,DB00564
D004832,DB01068
D004832,DB00829
D004832,DB00997
D004832,DB00593
D004832,DB00502
D004832,DB01109
D004832,DB00555
D004832,DB00007
D004832,DB01202
D004832,DB14509
D004832,DB01183
D004832,DB00776
D004832,DB01174
D004832,DB00252
D004832,DB01085
D004832,DB00794
D004832,DB00396
D004832,DB00420
D004832,DB00740
D004832,DB09072
D004832,DB00347
D004832,DB00313
D004832,DB01080
D020936,DB01080
D017029,DB00564
D017029,DB01068
D017029,DB00363
D017029,DB00829
D017029,DB00996
D017029,DB00555
D017029,DB01202
D017029,DB00563
D017029,DB00776
D017029,DB01174
D017029,DB00252
D017029,DB00794
D017029,DB00906
D017029,DB00273
D017029,DB00656
D017029,DB00313
D017029,DB01080
D017029,DB00909
D004829,DB00564
D004829,DB00363
D004829,DB00829
D004829,DB00555
D004829,DB00186
D004829,DB01183
D004829,DB01174
D004829,DB00252
D004829,DB00860
D004829,DB00230
D004829,DB00818
D004829,DB01154
D004829,DB00656
D004829,DB00313
D004829,DB00495
D020195,DB00949
D020195,DB00313
D019305,DB00564
D019305,DB00349
D019305,DB00273
D019305,DB00313
D004833,DB06774
D004833,DB00564
D004833,DB01068
D004833,DB00555
D004833,DB01202
D004833,DB00603
D004833,DB00563
D004833,DB01174
D004833,DB00252
D004833,DB01085
D004833,DB00794
D004833,DB00864
D004833,DB00273
D004833,DB00313
D004833,DB01080
D004830,DB00316
D004830,DB00787
D004830,DB00640
D004830,DB01223
D004830,DB00321
D004830,DB00572
D004830,DB00835
D004830,DB00297
D004830,DB01156
D004830,DB00490
D004830,DB00201
D004830,DB00564
D004830,DB00578
D004830,DB00438
D004830,DB01161
D004830,DB00608
D004830,DB00477
D004830,DB00501
D004830,DB00537
D004830,DB00215
D004830,DB00349
D004830,DB01242
D004830,DB01068
D004830,DB00575
D004830,DB00363
D004830,DB00907
D004830,DB00979
D004830,DB00746
D004830,DB00829
D004830,DB00586
D004830,DB12789
D004830,DB00822
D004830,DB01184
D004830,DB00228
D004830,DB00467
D004830,DB04880
D004830,DB01364
D004830,DB00668
D004830,DB00303
D004830,DB00199
D004830,DB00898
D004830,DB00593
D004830,DB00292
D004830,DB00813
D004830,DB00529
D004830,DB01320
D004830,DB00996
D004830,DB00502
D004830,DB01109
D004830,DB00327
D004830,DB00458
D004830,DB00555
D004830,DB01202
D004830,DB01002
D004830,DB00281
D004830,DB14509
D004830,DB00934
D004830,DB00643
D004830,DB00358
D004830,DB00454
D004830,DB00474
D004830,DB00563
D004830,DB01403
D004830,DB00422
D004830,DB00959
D004830,DB00916
D004830,DB00683
D004830,DB00295
D004830,DB01183
D004830,DB00540
D004830,DB01173
D004830,DB00776
D004830,DB00715
D004830,DB00487
D004830,DB00652
D004830,DB00780
D004830,DB01174
D004830,DB00925
D004830,DB00397
D004830,DB00252
D004830,DB01085
D004830,DB01100
D004830,DB00733
D004830,DB00635
D004830,DB00794
D004830,DB00721
D004830,DB01131
D004830,DB00818
D004830,DB00114
D004830,DB00468
D004830,DB00296
D004830,DB01104
D004830,DB00202
D004830,DB00864
D004830,DB09085
D004830,DB00277
D004830,DB01154
D004830,DB00599
D004830,DB00273
D004830,DB00302
D004830,DB00726
D004830,DB00313
D004830,DB00541
D004830,DB00909
D004948,DB00564
D004948,DB00537
D004948,DB14509
D004948,DB00186
D004948,DB00334
D004948,DB00747
D020329,DB00714
D020329,DB00181
D020329,DB00564
D020329,DB00898
D020329,DB00996
D020329,DB00794
D020329,DB00571
D020329,DB09072
D020329,DB00277
D020329,DB00656
D020329,DB00313
D020329,DB00909
D005099,DB00829
D005099,DB00186
D005099,DB01392
D005131,DB00819
D005131,DB00513
D005131,DB01718
D005131,DB03619
D005131,DB00586
D005131,DB03085
D005131,DB04398
D000795,DB05018
D005151,DB00907
D005155,DB00787
D005155,DB01075
D005155,DB00929
D005155,DB00698
D005155,DB01229
D005155,DB01113
D005155,DB00433
D005155,DB00165
D005155,DB00541
D005155,DB00361
D020220,DB00281
D020220,DB00860
D005156,DB00564
D005158,DB00518
D005158,DB00297
D005158,DB00091
D005158,DB00987
D005158,DB00822
D005158,DB00281
D005158,DB14509
D005158,DB00563
D005158,DB00834
D005158,DB00929
D005158,DB00338
D005158,DB01229
D005158,DB01113
D005158,DB00850
D005158,DB00252
D005158,DB01041
D005158,DB00541
D005158,DB00361
D005207,DB00802
D005207,DB00572
D005207,DB00565
D005207,DB01219
D005207,DB00829
D005207,DB01093
D005207,DB00843
D005207,DB00483
D005207,DB00753
D005207,DB00281
D005207,DB00653
D005207,DB01043
D005207,DB00683
D005207,DB01226
D005207,DB01337
D005207,DB00252
D005207,DB00981
D005207,DB00818
D005207,DB00899
D005207,DB00728
D005207,DB00202
D005207,DB00605
D005207,DB00871
D005207,DB00599
D005207,DB01199
D005207,DB00661
D015673,DB00668
D015673,DB00252
D020428,DB01418
D020428,DB00297
D020428,DB01225
D020428,DB01109
D020428,DB00498
D020428,DB00296
D020428,DB00682
D005356,DB00482
D005356,DB00924
D005356,DB01221
D005356,DB00281
D005356,DB04896
D005356,DB00704
D005356,DB01174
D005356,DB00960
D005356,DB00230
D005356,DB00193
D005356,DB00162
D005600,DB01017
D005621,DB00443
D005621,DB00515
D005621,DB01592
D005621,DB09282
D057180,DB00334
D057180,DB00734
D057180,DB02546
D020235,DB01182
D020234,DB00564
D020234,DB00446
D020234,DB01248
D020234,DB00848
D020234,DB00281
D020234,DB14509
D020234,DB00934
D020234,DB00358
D020234,DB00961
D020234,DB00916
D020234,DB00252
D020234,DB00679
D020234,DB01623
D020234,DB00273
D020234,DB00897
D020234,DB00313
D020234,DB00661
D020234,DB00541
D020233,DB01118
D020233,DB00543
D020233,DB00182
D020233,DB00207
D020233,DB01200
D020233,DB00564
D020233,DB00608
D020233,DB00604
D020233,DB00215
D020233,DB01075
D020233,DB00822
D020233,DB06262
D020233,DB00472
D020233,DB00677
D020233,DB01221
D020233,DB01235
D020233,DB14509
D020233,DB00653
D020233,DB00331
D020233,DB00333
D020233,DB00563
D020233,DB00968
D020233,DB01233
D020233,DB00916
D020233,DB00370
D020233,DB01229
D020233,DB00715
D020233,DB00252
D020233,DB00413
D020233,DB00641
D020233,DB00864
D020233,DB11699
D020233,DB00313
D020233,DB01080
D020233,DB00541
D020233,DB00163
D020233,DB06283
D005776,DB00419
D005776,DB00682
D005862,DB00819
D013700,DB00993
D013700,DB00584
D013700,DB00696
D013700,DB00959
D013700,DB00860
D013700,DB00635
D020435,DB00541
D049912,DB01200
D020275,DB00515
D020275,DB00242
D020275,DB01394
D020275,DB00531
D020275,DB00091
D020275,DB00987
D020275,DB00441
D020275,DB00175
D020275,DB00641
D006212,DB00316
D006212,DB00787
D006212,DB00404
D006212,DB00915
D006212,DB00513
D006212,DB00321
D006212,DB00543
D006212,DB01060
D006212,DB00182
D006212,DB00714
D006212,DB00126
D006212,DB00572
D006212,DB00181
D006212,DB01200
D006212,DB00835
D006212,DB00921
D006212,DB01156
D006212,DB00490
D006212,DB00201
D006212,DB00564
D006212,DB00190
D006212,DB00438
D006212,DB00482
D006212,DB00475
D006212,DB00608
D006212,DB00477
D006212,DB01239
D006212,DB01340
D006212,DB00501
D006212,DB00537
D006212,DB00215
D006212,DB01211
D006212,DB01242
D006212,DB01068
D006212,DB00575
D006212,DB00758
D006212,DB00363
D006212,DB00907
D006212,DB01176
D006212,DB00924
D006212,DB00979
D006212,DB00091
D006212,DB00434
D006212,DB00987
D006212,DB01219
D006212,DB00250
D006212,DB00746
D006212,DB01234
D006212,DB01191
D006212,DB01576
D006212,DB00514
D006212,DB00829
D006212,DB00390
D006212,DB00343
D006212,DB00985
D006212,DB01075
D006212,DB00975
D006212,DB00822
D006212,DB00561
D006212,DB01142
D006212,DB00470
D006212,DB00450
D006212,DB00494
D006212,DB01364
D006212,DB00199
D006212,DB00898
D006212,DB01077
D006212,DB00927
D006212,DB00574
D006212,DB00813
D006212,DB01195
D006212,DB00472
D006212,DB00690
D006212,DB00176
D006212,DB01320
D006212,DB01004
D006212,DB01437
D006212,DB01018
D006212,DB00502
D006212,DB00956
D006212,DB01181
D006212,DB00458
D006212,DB00328
D006212,DB00753
D006212,DB00951
D006212,DB00883
D006212,DB01167
D006212,DB01221
D006212,DB00555
D006212,DB00448
D006212,DB01235
D006212,DB00281
D006212,DB00589
D006212,DB14509
D006212,DB00186
D006212,DB00934
D006212,DB00737
D006212,DB00358
D006212,DB01065
D006212,DB01043
D006212,DB00454
D006212,DB01365
D006212,DB00333
D006212,DB01403
D006212,DB00968
D006212,DB00422
D006212,DB00959
D006212,DB00247
D006212,DB01233
D006212,DB00264
D006212,DB00916
D006212,DB06148
D006212,DB00683
D006212,DB01171
D006212,DB00745
D006212,DB00680
D006212,DB00295
D006212,DB00486
D006212,DB01183
D006212,DB00704
D006212,DB00238
D006212,DB01595
D006212,DB00325
D006212,DB01059
D006212,DB00540
D006212,DB01165
D006212,DB00334
D006212,DB00338
D006212,DB01173
D006212,DB01580
D006212,DB01062
D006212,DB00497
D006212,DB00595
D006212,DB01229
D006212,DB00715
D006212,DB00652
D006212,DB00806
D006212,DB01186
D006212,DB00850
D006212,DB01579
D006212,DB00780
D006212,DB00191
D006212,DB00397
D006212,DB00252
D006212,DB00981
D006212,DB01085
D006212,DB00960
D006212,DB00319
D006212,DB01324
D006212,DB00457
D006212,DB00860
D006212,DB00635
D006212,DB00794
D006212,DB01035
D006212,DB00721
D006212,DB01069
D006212,DB00818
D006212,DB00571
D006212,DB00863
D006212,DB01367
D006212,DB00409
D006212,DB00734
D006212,DB00268
D006212,DB00747
D006212,DB01037
D006212,DB01104
D006212,DB00605
D006212,DB00391
D006212,DB00864
D006212,DB00231
D006212,DB01041
D006212,DB00277
D006212,DB00679
D006212,DB01623
D006212,DB01607
D006212,DB00373
D006212,DB01056
D006212,DB00273
D006212,DB00193
D006212,DB00752
D006212,DB00656
D006212,DB00897
D006212,DB00376
D006212,DB00792
D006212,DB00313
D006212,DB00661
D006212,DB00541
D006212,DB11094
D006212,DB00582
D006212,DB06283
D006212,DB01593
D006212,DB00246
D006212,DB00425
D006212,DB00909
D020773,DB00316
D020773,DB01118
D020773,DB00833
D020773,DB00328
D020773,DB00447
D020773,DB00776
D051270,DB00819
D051270,DB00321
D051270,DB00584
D051270,DB00696
D051270,DB14509
D051270,DB01233
D051270,DB00435
D051270,DB00727
D051270,DB00368
D051271,DB00669
D016489,DB01109
D006311,DB06151
D006311,DB00479
D006311,DB00321
D006311,DB00207
D006311,DB00297
D006311,DB00564
D006311,DB00493
D006311,DB01212
D006311,DB01112
D006311,DB00608
D006311,DB00501
D006311,DB00515
D006311,DB00907
D006311,DB00531
D006311,DB00091
D006311,DB00746
D006311,DB00861
D006311,DB00997
D006311,DB00695
D006311,DB00951
D006311,DB01172
D006311,DB00281
D006311,DB00994
D006311,DB00955
D006311,DB00435
D006311,DB00540
D006311,DB01229
D006311,DB01421
D006311,DB00252
D006311,DB00339
D006311,DB00468
D006311,DB01045
D006311,DB00296
D006311,DB01082
D006311,DB00541
D034381,DB06151
D034381,DB00459
D034381,DB01143
D034381,DB00479
D034381,DB00321
D034381,DB00182
D034381,DB00415
D034381,DB00207
D034381,DB00887
D034381,DB00297
D034381,DB06774
D034381,DB00389
D034381,DB00262
D034381,DB01212
D034381,DB01112
D034381,DB00608
D034381,DB00515
D034381,DB00907
D034381,DB00531
D034381,DB00987
D034381,DB00746
D034381,DB01234
D034381,DB00900
D034381,DB01093
D034381,DB00997
D034381,DB00668
D034381,DB00773
D034381,DB00472
D034381,DB00452
D034381,DB00695
D034381,DB00956
D034381,DB00741
D034381,DB01611
D034381,DB01181
D034381,DB00951
D034381,DB01172
D034381,DB00465
D034381,DB01206
D034381,DB00358
D034381,DB01065
D034381,DB00134
D034381,DB00994
D034381,DB00955
D034381,DB00435
D034381,DB01421
D034381,DB00319
D034381,DB02925
D034381,DB00554
D034381,DB00860
D034381,DB00635
D034381,DB00750
D034381,DB00908
D034381,DB00468
D034381,DB00936
D034381,DB01082
D034381,DB00605
D034381,DB01041
D034381,DB00313
D034381,DB00541
D006312,DB00479
D006312,DB00188
D006312,DB01200
D006312,DB00493
D006312,DB00446
D006312,DB01211
D006312,DB00907
D006312,DB01406
D006312,DB01219
D006312,DB00746
D006312,DB00695
D006312,DB01172
D006312,DB00709
D006312,DB00959
D006312,DB00350
D006312,DB00955
D006312,DB00238
D006312,DB01229
D006312,DB00022
D006312,DB00550
D006312,DB00811
D006312,DB00649
D006312,DB01082
D006312,DB00864
D006312,DB01607
D006312,DB01080
D006312,DB00541
D006312,DB00361
D006312,DB00682
D006312,DB00943
D006314,DB00290
D006314,DB00515
D006314,DB00746
D006314,DB01082
D006314,DB00570
D006316,DB00479
D006316,DB00515
D006316,DB00746
D006316,DB01172
D006316,DB00358
D006316,DB00994
D006316,DB01421
D046089,DB00264
D006317,DB00514
D006317,DB00755
D006319,DB00479
D006319,DB00415
D006319,DB00928
D006319,DB00207
D006319,DB09096
D006319,DB01200
D006319,DB00446
D006319,DB00537
D006319,DB00515
D006319,DB01211
D006319,DB01190
D006319,DB00907
D006319,DB09130
D006319,DB00091
D006319,DB01406
D006319,DB01219
D006319,DB00746
D006319,DB00668
D006319,DB00199
D006319,DB00452
D006319,DB00695
D006319,DB01109
D006319,DB01611
D006319,DB01050
D006319,DB00328
D006319,DB01172
D006319,DB00709
D006319,DB00959
D006319,DB00916
D006319,DB00788
D006319,DB00994
D006319,DB00955
D006319,DB00238
D006319,DB01229
D006319,DB01337
D006319,DB01113
D006319,DB01421
D006319,DB00008
D006319,DB00022
D006319,DB00860
D006319,DB00635
D006319,DB00571
D006319,DB00550
D006319,DB00468
D006319,DB00863
D006319,DB00811
D006319,DB00649
D006319,DB01082
D006319,DB00864
D006319,DB00277
D006319,DB00313
D006319,DB00661
D006319,DB01080
D006319,DB00541
D006319,DB00361
D006319,DB00943
D003639,DB00907
D003639,DB01219
D003639,DB00709
D003639,DB00358
D003639,DB00333
D003639,DB00959
D003639,DB00788
D003639,DB00238
D003639,DB00008
D003639,DB00811
D003639,DB00649
D003639,DB00864
D003639,DB00541
D046088,DB00479
D046088,DB00008
D046088,DB00022
D046088,DB00635
D046088,DB00811
D020260,DB09130
D020260,DB00370
D006408,DB01418
D006408,DB00758
D006408,DB00907
D006408,DB01206
D006408,DB01168
D006408,DB00541
D006408,DB00682
D020199,DB00907
D020199,DB01045
D020199,DB00682
D046648,DB00397
D006423,DB01200
D006423,DB00189
D006423,DB01109
D006423,DB00669
D006423,DB00273
D019569,DB00564
D019569,DB00883
D006429,DB00181
D006429,DB00188
D006429,DB00987
D006429,DB01119
D006429,DB02530
D006429,DB01120
D006429,DB00502
D006429,DB00563
D006429,DB00422
D006429,DB00959
D006429,DB00295
D006429,DB01183
D006429,DB00727
D006429,DB01113
D006429,DB00780
D006429,DB00252
D006429,DB00864
