Disease,Drug
D059445,DB11094
D015875,DB00964
D015875,DB01156
D015875,DB00907
D015875,DB00332
D015875,DB00753
D015875,DB00715
D015875,DB00747
D015875,DB01104
D000849,DB14509
D000849,DB00571
D020759,DB00907
D001037,DB00188
D001037,DB00297
D001037,DB00564
D001037,DB00907
D001037,DB00987
D001037,DB01151
D001037,DB01234
D001037,DB00668
D001037,DB00472
D001037,DB00441
D001037,DB01120
D001037,DB00741
D001037,DB01181
D001037,DB00762
D001037,DB00848
D001037,DB14509
D001037,DB00961
D001037,DB00563
D001037,DB09241
D001037,DB00683
D001037,DB01113
D001037,DB00397
D001037,DB00296
D001037,DB00747
D001037,DB00708
D001037,DB00795
D001037,DB00864
D001037,DB00273
D001037,DB00541
D001039,DB01394
D001039,DB00987
D001039,DB00571
D001039,DB00864
D001044,DB01242
D001044,DB00987
D001044,DB00668
D001044,DB00281
D001044,DB00540
D001044,DB00420
D001044,DB00541
D020240,DB00563
D001072,DB00564
D001072,DB00502
D001072,DB00951
D001072,DB14509
D001072,DB09212
D001072,DB00929
D001072,DB00747
D001072,DB00391
D001072,DB00864
D001072,DB01041
D001072,DB00313
D001100,DB11148
D001100,DB00987
D001100,DB00563
D001100,DB00652
D001100,DB00860
D001139,DB00252
D001139,DB00755
D001139,DB00313
D001139,DB00162
D020261,DB01169
D020261,DB00126
D020261,DB11672
D020261,DB06782
D020261,DB01956
D020261,DB00730
D020261,DB00163
D020261,DB14533
D001184,DB00564
D001184,DB00438
D001184,DB01233
D001259,DB00819
D001259,DB00787
D001259,DB00404
D001259,DB00915
D001259,DB00357
D001259,DB00855
D001259,DB01118
D001259,DB00182
D001259,DB01076
D001259,DB00572
D001259,DB00181
D001259,DB13746
D001259,DB01558
D001259,DB00490
D001259,DB09061
D001259,DB00564
D001259,DB00493
D001259,DB00341
D001259,DB00475
D001259,DB00477
D001259,DB00501
D001259,DB00515
D001259,DB01211
D001259,DB00349
D001259,DB01068
D001259,DB00575
D001259,DB00907
D001259,DB01394
D001259,DB09130
D001259,DB09131
D001259,DB01176
D001259,DB00979
D001259,DB00531
D001259,DB00091
D001259,DB00434
D001259,DB00987
D001259,DB01151
D001259,DB00967
D001259,DB01234
D001259,DB01576
D001259,DB00514
D001259,DB00829
D001259,DB01119
D001259,DB00390
D001259,DB00343
D001259,DB00985
D001259,DB01075
D001259,DB00822
D001259,DB00997
D001259,DB00470
D001259,DB00668
D001259,DB00898
D001259,DB00773
D001259,DB00949
D001259,DB00322
D001259,DB01205
D001259,DB00544
D001259,DB00472
D001259,DB01185
D001259,DB00690
D001259,DB00158
D001259,DB00996
D001259,DB02530
D001259,DB00441
D001259,DB01016
D001259,DB00801
D001259,DB00502
D001259,DB01181
D001259,DB01598
D001259,DB01592
D001259,DB00753
D001259,DB00677
D001259,DB00951
D001259,DB00982
D001259,DB00270
D001259,DB01221
D001259,DB00555
D001259,DB00848
D001259,DB00281
D001259,DB14509
D001259,DB00186
D001259,DB00678
D001259,DB00603
D001259,DB00814
D001259,DB01043
D001259,DB00333
D001259,DB00134
D001259,DB00563
D001259,DB09241
D001259,DB00422
D001259,DB00916
D001259,DB00683
D001259,DB00211
D001259,DB01017
D001259,DB00929
D001259,DB00788
D001259,DB00184
D001259,DB00393
D001259,DB00727
D001259,DB00904
D001259,DB01229
D001259,DB00312
D001259,DB04930
D001259,DB01174
D001259,DB00252
D001259,DB00554
D001259,DB00860
D001259,DB00635
D001259,DB00794
D001259,DB01182
D001259,DB00818
D001259,DB00571
D001259,DB00852
D001259,DB00165
D001259,DB00734
D001259,DB00503
D001259,DB00747
D001259,DB00641
D001259,DB01082
D001259,DB00263
D001259,DB00864
D001259,DB00599
D001259,DB00208
D001259,DB00755
D001259,DB00897
D001259,DB00313
D001259,DB00661
D001259,DB00541
D001259,DB00163
D001259,DB02546
D001259,DB06283
D001259,DB00425
D001259,DB00909
D001260,DB01592
D001264,DB01212
D001264,DB00477
D001264,DB00907
D001264,DB00434
D001264,DB00829
D001264,DB01075
D001264,DB00968
D001264,DB00422
D001264,DB00683
D001264,DB01618
D001264,DB00334
D001264,DB01174
D001264,DB00252
D001264,DB00981
D001264,DB00794
D001264,DB00387
D001264,DB00420
D001264,DB04844
D001264,DB00679
D001264,DB00906
D001264,DB00376
D001264,DB00541
D001308,DB00564
D001308,DB00907
D001308,DB00184
D001308,DB04930
D001308,DB01085
D020211,DB00929
D001342,DB00404
D001342,DB00321
D001342,DB00335
D001342,DB00290
D001342,DB00136
D001342,DB01136
D001342,DB00477
D001342,DB00515
D001342,DB00215
D001342,DB00575
D001342,DB00363
D001342,DB00907
D001342,DB01234
D001342,DB00450
D001342,DB00898
D001342,DB00441
D001342,DB00741
D001342,DB01235
D001342,DB00916
D001342,DB00683
D001342,DB00350
D001342,DB00022
D001342,DB00738
D001342,DB00780
D001342,DB01174
D001342,DB00457
D001342,DB00571
D001342,DB00811
D001342,DB00734
D001342,DB00570
D001342,DB00541
D001342,DB00361
D001342,DB01392
D020144,DB00907
D020144,DB00822
D001480,DB00915
D001480,DB01118
D001480,DB06288
D001480,DB00321
D001480,DB00381
D001480,DB00543
D001480,DB00714
D001480,DB06216
D001480,DB00810
D001480,DB01200
D001480,DB00490
D001480,DB00201
D001480,DB00564
D001480,DB00608
D001480,DB00477
D001480,DB01239
D001480,DB00501
D001480,DB00568
D001480,DB00363
D001480,DB00907
D001480,DB01151
D001480,DB00829
D001480,DB01075
D001480,DB00822
D001480,DB01184
D001480,DB00843
D001480,DB00988
D001480,DB00450
D001480,DB04841
D001480,DB00472
D001480,DB00623
D001480,DB00176
D001480,DB00502
D001480,DB01181
D001480,DB00458
D001480,DB00224
D001480,DB11757
D001480,DB00465
D001480,DB00709
D001480,DB00555
D001480,DB00448
D001480,DB01235
D001480,DB14509
D001480,DB00408
D001480,DB00737
D001480,DB00784
D001480,DB00422
D001480,DB01233
D001480,DB00683
D001480,DB01618
D001480,DB00295
D001480,DB01149
D001480,DB01115
D001480,DB00585
D001480,DB00540
D001480,DB00334
D001480,DB00904
D001480,DB00776
D001480,DB00715
D001480,DB00850
D001480,DB00252
D001480,DB01085
D001480,DB01100
D001480,DB00635
D001480,DB00433
D001480,DB00387
D001480,DB00392
D001480,DB00818
D001480,DB00571
D001480,DB00165
D001480,DB00734
D001480,DB00503
D001480,DB00989
D001480,DB06144
D001480,DB01104
D001480,DB01236
D001480,DB00391
D001480,DB00372
D001480,DB00679
D001480,DB01623
D001480,DB00831
D001480,DB00508
D001480,DB00376
D001480,DB11699
D001480,DB00313
D001480,DB01080
D001480,DB00246
D001480,DB09225
D020145,DB00907
D020330,DB00022
D020330,DB00811
D001766,DB01118
