,Drug,Disease
2301,DB00312,D003244
2302,DB00252,D003244
2303,DB00981,D003244
2304,DB00433,D003244
2305,DB01182,D003244
2306,DB01045,D003244
2307,DB00391,D003244
2308,DB00864,D003244
2309,DB00675,D003244
2310,DB00302,D003244
2311,DB00897,D003244
2312,DB00313,D003244
2313,DB00195,D065306
2314,DB00575,D065306
2315,DB01234,D065306
2316,DB00997,D065306
2317,DB00898,D065306
2318,DB00515,D003389
2319,DB00907,D003389
2320,DB00987,D003389
2321,DB00563,D003389
2322,DB00929,D003389
2323,DB00165,D003389
2324,DB01041,D003389
2325,DB00541,D003389
2326,DB00819,D006259
2327,DB00572,D006259
2328,DB01234,D006259
2329,DB00312,D006259
2330,DB09130,D007562
2331,DB00313,D003616
2332,DB00682,D003616
2333,DB00415,D003638
2334,DB00626,D003638
2335,DB00446,D003638
2336,DB07565,D003638
2337,DB00515,D003638
2338,DB00746,D003638
2339,DB01234,D003638
2340,DB00647,D003638
2341,DB00997,D003638
2342,DB00452,D003638
2343,DB00695,D003638
2344,DB01172,D003638
2345,DB00772,D003638
2346,DB00603,D003638
2347,DB00916,D003638
2348,DB00994,D003638
2349,DB01229,D003638
2350,DB01421,D003638
2351,DB00571,D003638
2352,DB01839,D003638
2353,DB00908,D003638
2354,DB00468,D003638
2355,DB01082,D003638
2356,DB01041,D003638
2357,DB00181,D003655
2358,DB00563,D003655
2359,DB00819,D003693
2360,DB00787,D003693
2361,DB00518,D003693
2362,DB00404,D003693
2363,DB00915,D003693
2364,DB00513,D003693
2365,DB01118,D003693
2366,DB06288,D003693
2367,DB00321,D003693
2368,DB00913,D003693
2369,DB00335,D003693
2370,DB00572,D003693
2371,DB00207,D003693
2372,DB00181,D003693
2373,DB06698,D003693
2374,DB00810,D003693
2375,DB01558,D003693
2376,DB01200,D003693
2377,DB01156,D003693
2378,DB00564,D003693
2379,DB01413,D003693
2380,DB00567,D003693
2381,DB00475,D003693
2382,DB00608,D003693
2383,DB00477,D003693
2384,DB00501,D003693
2385,DB00537,D003693
2386,DB00215,D003693
2387,DB01211,D003693
2388,DB01242,D003693
2389,DB00575,D003693
2390,DB00363,D003693
2391,DB00907,D003693
2392,DB00318,D003693
2393,DB00924,D003693
2394,DB00091,D003693
2395,DB00434,D003693
2396,DB01151,D003693
2397,DB01234,D003693
2398,DB00633,D003693
2399,DB00514,D003693
2400,DB00829,D003693
2401,DB00586,D003693
2402,DB01396,D003693
2403,DB00390,D003693
2404,DB00343,D003693
2405,DB01075,D003693
2406,DB00822,D003693
2407,DB00843,D003693
2408,DB01142,D003693
2409,DB00450,D003693
2410,DB00898,D003693
2411,DB00927,D003693
2412,DB00813,D003693
2413,DB01195,D003693
2414,DB00196,D003693
2415,DB01205,D003693
2416,DB00472,D003693
2417,DB00695,D003693
2418,DB00674,D003693
2419,DB00502,D003693
2420,DB11181,D003693
2421,DB01050,D003693
2422,DB01181,D003693
2423,DB00458,D003693
2424,DB00328,D003693
2425,DB01029,D003693
2426,DB00753,D003693
2427,DB01167,D003693
2428,DB01221,D003693
2429,DB00555,D003693
2430,DB01202,D003693
2431,DB01235,D003693
2432,DB00281,D003693
2433,DB14509,D003693
2434,DB00836,D003693
2435,DB00186,D003693
2436,DB00653,D003693
2437,DB00934,D003693
2438,DB00358,D003693
2439,DB01043,D003693
2440,DB00454,D003693
2441,DB00333,D003693
2442,DB00703,D003693
2443,DB00563,D003693
2444,DB01233,D003693
2445,DB00264,D003693
2446,DB00683,D003693
2447,DB00929,D003693
2448,DB00295,D003693
2449,DB00704,D003693
2450,DB00238,D003693
2451,DB00627,D003693
2452,DB00184,D003693
2453,DB01115,D003693
2454,DB01595,D003693
2455,DB00325,D003693
2456,DB00585,D003693
2457,DB01165,D003693
2458,DB00334,D003693
2459,DB00338,D003693
2460,DB00904,D003693
2461,DB01062,D003693
2462,DB00497,D003693
2463,DB00715,D003693
2464,DB00487,D003693
2465,DB00022,D003693
2466,DB01438,D003693
2467,DB00780,D003693
2468,DB00252,D003693
2469,DB00981,D003693
2470,DB01085,D003693
2471,DB00635,D003693
2472,DB01035,D003693
2473,DB01069,D003693
2474,DB01182,D003693
2475,DB00818,D003693
2476,DB00571,D003693
2477,DB00908,D003693
2478,DB00863,D003693
2479,DB00811,D003693
2480,DB00734,D003693
2481,DB00989,D003693
2482,DB00747,D003693
2483,DB01037,D003693
2484,DB01104,D003693
2485,DB01236,D003693
2486,DB00605,D003693
2487,DB00382,D003693
2488,DB00277,D003693
2489,DB00599,D003693
2490,DB00679,D003693
2491,DB00193,D003693
2492,DB00752,D003693
2493,DB00656,D003693
2494,DB00897,D003693
2495,DB00440,D003693
2496,DB00313,D003693
2497,DB00661,D003693
2498,DB00425,D003693
2499,DB00915,D003704
2500,DB01222,D003704
2501,DB01136,D003704
2502,DB00438,D003704
2503,DB04540,D003704
2504,DB00501,D003704
2505,DB00575,D003704
2506,DB00363,D003704
2507,DB09130,D003704
2508,DB11672,D003704
2509,DB00746,D003704
2510,DB00390,D003704
2511,DB00843,D003704
2512,DB00544,D003704
2513,DB00158,D003704
2514,DB00502,D003704
2515,DB01592,D003704
2516,DB00951,D003704
2517,DB00848,D003704
2518,DB00408,D003704
2519,DB00603,D003704
2520,DB01043,D003704
2521,DB00563,D003704
2522,DB00968,D003704
2523,DB00218,D003704
2524,DB01183,D003704
2525,DB00393,D003704
2526,DB00435,D003704
2527,DB00540,D003704
2528,DB00334,D003704
2529,DB00252,D003704
2530,DB01085,D003704
2531,DB00635,D003704
2532,DB00794,D003704
2533,DB00396,D003704
2534,DB00908,D003704
2535,DB00734,D003704
2536,DB00989,D003704
2537,DB00747,D003704
2538,DB01104,D003704
2539,DB00428,D003704
2540,DB00679,D003704
2541,DB00656,D003704
2542,DB00313,D003704
2543,DB11094,D003704
2544,DB00806,D015161
2545,DB00993,D015140
2546,DB00674,D015140
2547,DB01043,D015140
2548,DB00435,D015140
2549,DB00860,D015140
2550,DB11094,D015140
2551,DB06151,D003711
2552,DB01118,D003711
2553,DB06756,D003711
2554,DB00608,D003711
2555,DB00672,D003711
2556,DB00242,D003711
2557,DB00907,D003711
2558,DB00987,D003711
2559,DB01234,D003711
2560,DB00586,D003711
2561,DB01093,D003711
2562,DB00997,D003711
2563,DB00783,D003711
2564,DB00544,D003711
2565,DB00756,D003711
2566,DB00848,D003711
2567,DB08882,D003711
2568,DB00134,D003711
2569,DB00563,D003711
2570,DB01204,D003711
2571,DB06174,D003711
2572,DB01229,D003711
2573,DB00252,D003711
2574,DB01085,D003711
2575,DB01263,D003711
2576,DB00635,D003711
2577,DB00721,D003711
2578,DB00396,D003711
2579,DB00205,D003711
2580,DB00296,D003711
2581,DB00877,D003711
2582,DB00428,D003711
2583,DB00605,D003711
2584,DB00864,D003711
2585,DB00675,D003711
2586,DB00152,D003711
2587,DB00685,D003711
2588,DB01080,D003711
2589,DB00541,D003711
2590,DB00309,D003711
2591,DB00943,D003711
2592,DB01217,D003882
2593,DB00993,D003882
2594,DB00531,D003882
2595,DB00586,D003882
2596,DB00773,D003882
2597,DB00544,D003882
2598,DB01095,D003882
2599,DB01611,D003882
2600,DB01005,D003882
2601,DB00227,D003882
2602,DB00563,D003882
2603,DB00959,D003882
2604,DB01017,D003882
2605,DB00338,D003882
2606,DB00812,D003882
2607,DB00252,D003882
2608,DB00175,D003882
2609,DB00860,D003882
2610,DB00635,D003882
2611,DB00641,D003882
2612,DB00675,D003882
2613,DB00321,D003929
2614,DB00514,D003929
2615,DB00584,D003929
2616,DB01095,D003929
2617,DB00996,D003929
2618,DB00458,D003929
2619,DB01029,D003929
2620,DB00281,D003929
2621,DB00722,D003929
2622,DB01017,D003929
2623,DB09140,D003929
2624,DB00715,D003929
2625,DB00806,D003929
2626,DB00230,D003929
2627,DB00396,D003929
2628,DB00412,D003929
2629,DB01082,D003929
2630,DB00428,D003929
2631,DB00605,D003929
2632,DB00641,D020833
2633,DB00459,D004172
2634,DB00993,D004172
2635,DB00564,D004172
2636,DB00608,D004172
2637,DB00501,D004172
2638,DB00537,D004172
2639,DB00215,D004172
2640,DB01190,D004172
2641,DB00987,D004172
2642,DB00829,D004172
2643,DB00343,D004172
2644,DB01075,D004172
2645,DB00668,D004172
2646,DB01544,D004172
2647,DB00472,D004172
2648,DB01611,D004172
2649,DB01050,D004172
2650,DB00951,D004172
2651,DB00555,D004172
2652,DB00281,D004172
2653,DB00653,D004172
2654,DB00961,D004172
2655,DB00563,D004172
2656,DB00264,D004172
2657,DB00683,D004172
2658,DB01017,D004172
2659,DB00929,D004172
2660,DB00295,D004172
2661,DB01183,D004172
2662,DB00698,D004172
2663,DB00727,D004172
2664,DB00776,D004172
2665,DB01580,D004172
2666,DB01229,D004172
2667,DB01337,D004172
2668,DB00022,D004172
2669,DB00812,D004172
2670,DB00252,D004172
2671,DB00571,D004172
2672,DB00811,D004172
2673,DB00503,D004172
2674,DB00864,D004172
2675,DB00759,D004172
2676,DB00679,D004172
2677,DB00755,D004172
2678,DB00897,D004172
2679,DB00541,D004172
2680,DB00162,D004172
2681,DB00918,D006970
2682,DB00404,D006970
2683,DB00321,D006970
2684,DB00714,D006970
2685,DB01238,D006970
2686,DB00335,D006970
2687,DB00972,D006970
2688,DB01558,D006970
2689,DB01200,D006970
2690,DB00490,D006970
2691,DB00248,D006970
2692,DB00564,D006970
2693,DB00341,D006970
2694,DB00475,D006970
2695,DB01114,D006970
2696,DB00477,D006970
2697,DB00310,D006970
2698,DB00356,D006970
2699,DB00501,D006970
2700,DB00537,D006970
2701,DB00215,D006970
2702,DB00283,D006970
2703,DB00349,D006970
2704,DB01242,D006970
2705,DB01068,D006970
2706,DB00575,D006970
2707,DB00363,D006970
2708,DB00907,D006970
2709,DB00260,D006970
2710,DB00091,D006970
2711,DB01191,D006970
2712,DB00514,D006970
2713,DB00829,D006970
2714,DB00985,D006970
2715,DB01075,D006970
2716,DB00561,D006970
2717,DB01142,D006970
2718,DB00450,D006970
2719,DB00494,D006970
2720,DB00199,D006970
2721,DB01205,D006970
2722,DB04841,D006970
2723,DB01544,D006970
2724,DB00472,D006970
2725,DB00623,D006970
2726,DB00176,D006970
2727,DB01018,D006970
2728,DB00502,D006970
2729,DB00557,D006970
2730,DB01181,D006970
2731,DB00951,D006970
2732,DB00982,D006970
2733,DB01221,D006970
2734,DB01202,D006970
2735,DB01235,D006970
2736,DB00281,D006970
2737,DB00589,D006970
2738,DB00186,D006970
2739,DB00934,D006970
2740,DB01065,D006970
2741,DB00454,D006970
2742,DB00333,D006970
2743,DB00703,D006970
2744,DB00563,D006970
2745,DB00422,D006970
2746,DB01233,D006970
2747,DB00916,D006970
2748,DB00683,D006970
2749,DB00745,D006970
2750,DB00295,D006970
2751,DB00788,D006970
2752,DB00334,D006970
2753,DB00338,D006970
2754,DB00776,D006970
2755,DB00497,D006970
2756,DB01192,D006970
2757,DB00213,D006970
2758,DB00715,D006970
2759,DB00652,D006970
2760,DB00312,D006970
2761,DB01186,D006970
2762,DB00780,D006970
2763,DB01174,D006970
2764,DB00252,D006970
2765,DB00981,D006970
2766,DB01324,D006970
2767,DB00413,D006970
2768,DB00635,D006970
2769,DB00230,D006970
2770,DB01069,D006970
2771,DB00571,D006970
2772,DB00852,D006970
2773,DB00734,D006970
2774,DB00503,D006970
2775,DB00268,D006970
2776,DB00747,D006970
2777,DB00669,D006970
2778,DB01041,D006970
2779,DB00599,D006970
2780,DB00679,D006970
2781,DB00697,D006970
2782,DB00273,D006970
2783,DB00193,D006970
2784,DB00752,D006970
2785,DB00313,D006970
2786,DB01080,D006970
2787,DB00541,D006970
2788,DB01392,D006970
2789,DB00425,D006970
2790,DB01076,D049310
2791,DB01394,D004314
2792,DB00252,D004314
2793,DB00734,D004314
2794,DB01041,D004370
2795,DB00787,D004401
2796,DB00770,D004401
2797,DB01076,D004401
2798,DB00995,D004401
2799,DB00443,D004401
2800,DB00810,D004401
2801,DB00297,D004401
2802,DB00564,D004401
2803,DB00438,D004401
2804,DB00477,D004401
2805,DB00537,D004401
2806,DB00363,D004401
2807,DB09130,D004401
2808,DB00987,D004401
2809,DB00829,D004401
2810,DB00586,D004401
2811,DB01075,D004401
2812,DB00822,D004401
2813,DB00668,D004401
2814,DB01195,D004401
2815,DB00176,D004401
2816,DB00695,D004401
2817,DB00502,D004401
2818,DB00762,D004401
2819,DB00270,D004401
2820,DB01026,D004401
2821,DB00367,D004401
2822,DB00281,D004401
2823,DB14509,D004401
2824,DB00678,D004401
2825,DB00227,D004401
2826,DB00454,D004401
2827,DB00961,D004401
2828,DB00371,D004401
2829,DB00933,D004401
2830,DB00331,D004401
2831,DB00563,D004401
2832,DB01233,D004401
2833,DB00916,D004401
2834,DB00683,D004401
2835,DB01017,D004401
2836,DB01115,D004401
2837,DB01595,D004401
2838,DB01165,D004401
2839,DB00715,D004401
2840,DB00252,D004401
2841,DB00175,D004401
2842,DB00433,D004401
2843,DB00165,D004401
2844,DB00863,D004401
2845,DB00734,D004401
2846,DB00296,D004401
2847,DB00747,D004401
2848,DB01104,D004401
2849,DB00641,D004401
2850,DB00864,D004401
2851,DB00679,D004401
2852,DB00208,D004401
2853,DB01056,D004401
2854,DB00273,D004401
2855,DB00656,D004401
2856,DB00831,D004401
2857,DB00376,D004401
2858,DB00313,D004401
2859,DB00661,D004401
2860,DB00541,D004401
2861,DB00819,D004408
2862,DB00381,D004408
2863,DB00993,D004408
2864,DB00207,D004408
2865,DB00343,D004408
2866,DB00975,D004408
2867,DB01248,D004408
2868,DB00584,D004408
2869,DB00813,D004408
2870,DB00281,D004408
2871,DB14509,D004408
2872,DB00678,D004408
2873,DB01115,D004408
2874,DB01229,D004408
2875,DB00550,D004408
2876,DB06217,D004408
2877,DB01593,D004408
2878,DB00770,D004409
2879,DB00915,D004409
2880,DB01118,D004409
2881,DB06288,D004409
2882,DB00321,D004409
2883,DB00543,D004409
2884,DB00182,D004409
2885,DB00714,D004409
2886,DB01238,D004409
2887,DB00995,D004409
2888,DB00181,D004409
2889,DB12783,D004409
2890,DB00810,D004409
2891,DB01200,D004409
2892,DB00835,D004409
2893,DB01156,D004409
2894,DB00490,D004409
2895,DB00248,D004409
2896,DB00201,D004409
2897,DB00564,D004409
2898,DB00190,D004409
2899,DB01212,D004409
2900,DB01112,D004409
2901,DB01114,D004409
2902,DB00477,D004409
2903,DB00501,D004409
2904,DB00215,D004409
2905,DB01407,D004409
2906,DB01242,D004409
2907,DB01068,D004409
2908,DB00575,D004409
2909,DB00363,D004409
2910,DB00907,D004409
2911,DB00148,D004409
2912,DB00091,D004409
2913,DB01151,D004409
2914,DB01576,D004409
2915,DB00514,D004409
2916,DB00829,D004409
2917,DB00343,D004409
2918,DB00917,D004409
2919,DB01075,D004409
2920,DB00975,D004409
2921,DB00988,D004409
2922,DB00450,D004409
2923,DB00494,D004409
2924,DB00593,D004409
2925,DB00949,D004409
2926,DB00574,D004409
2927,DB04841,D004409
2928,DB00472,D004409
2929,DB00623,D004409
2930,DB00996,D004409
2931,DB00143,D004409
2932,DB00502,D004409
2933,DB00328,D004409
2934,DB11757,D004409
2935,DB01202,D004409
2936,DB01235,D004409
2937,DB00589,D004409
2938,DB14509,D004409
2939,DB00653,D004409
2940,DB00657,D004409
2941,DB00603,D004409
2942,DB01065,D004409
2943,DB01043,D004409
2944,DB00454,D004409
2945,DB00331,D004409
2946,DB00333,D004409
2947,DB01403,D004409
2948,DB05246,D004409
2949,DB00422,D004409
2950,DB00247,D004409
2951,DB01233,D004409
2952,DB00683,D004409
2953,DB00370,D004409
2954,DB01618,D004409
2955,DB00295,D004409
2956,DB00486,D004409
2957,DB01183,D004409
2958,DB00704,D004409
2959,DB00184,D004409
2960,DB01115,D004409
2961,DB00393,D004409
2962,DB04821,D004409
2963,DB00368,D004409
2964,DB00334,D004409
2965,DB00904,D004409
2966,DB01173,D004409
2967,DB01113,D004409
2968,DB01626,D004409
2969,DB00715,D004409
2970,DB01186,D004409
2971,DB00850,D004409
2972,DB00780,D004409
2973,DB01174,D004409
2974,DB00252,D004409
2975,DB00981,D004409
2976,DB05316,D004409
2977,DB01100,D004409
2978,DB00413,D004409
2979,DB00794,D004409
2980,DB00433,D004409
2981,DB00387,D004409
2982,DB00392,D004409
2983,DB00396,D004409
2984,DB01069,D004409
2985,DB00818,D004409
2986,DB00571,D004409
2987,DB00409,D004409
2988,DB00206,D004409
2989,DB00740,D004409
2990,DB06155,D004409
2991,DB00734,D004409
2992,DB00268,D004409
2993,DB01698,D004409
2994,DB00747,D004409
2995,DB01037,D004409
2996,DB01082,D004409
2997,DB00391,D004409
2998,DB08329,D004409
2999,DB00382,D004409
3000,DB00864,D004409
3001,DB00675,D004409
3002,DB00624,D004409
3003,DB04844,D004409
3004,DB00277,D004409
3005,DB00372,D004409
3006,DB00679,D004409
3007,DB00323,D004409
3008,DB00273,D004409
3009,DB00656,D004409
3010,DB00897,D004409
3011,DB00831,D004409
3012,DB00376,D004409
3013,DB01273,D004409
3014,DB00661,D004409
3015,DB01392,D004409
3016,DB00915,D020820
3017,DB01118,D020820
3018,DB00182,D020820
3019,DB00714,D020820
3020,DB00572,D020820
3021,DB00181,D020820
3022,DB01200,D020820
3023,DB00490,D020820
3024,DB00564,D020820
3025,DB00477,D020820
3026,DB01239,D020820
3027,DB01068,D020820
3028,DB00363,D020820
3029,DB00260,D020820
3030,DB01151,D020820
3031,DB01576,D020820
3032,DB00829,D020820
3033,DB01075,D020820
3034,DB00898,D020820
3035,DB00593,D020820
3036,DB00292,D020820
3037,DB00813,D020820
3038,DB04841,D020820
3039,DB00690,D020820
3040,DB00996,D020820
3041,DB00502,D020820
3042,DB01181,D020820
3043,DB01592,D020820
3044,DB00951,D020820
3045,DB11757,D020820
3046,DB01221,D020820
3047,DB01026,D020820
3048,DB01235,D020820
3049,DB00589,D020820
3050,DB14509,D020820
3051,DB00657,D020820
3052,DB00371,D020820
3053,DB00331,D020820
3054,DB00370,D020820
3055,DB00627,D020820
3056,DB01115,D020820
3057,DB00776,D020820
3058,DB01186,D020820
3059,DB00850,D020820
3060,DB01174,D020820
3061,DB00252,D020820
3062,DB00413,D020820
3063,DB00230,D020820
3064,DB00433,D020820
3065,DB01367,D020820
3066,DB00206,D020820
3067,DB04844,D020820
3068,DB00599,D020820
3069,DB00679,D020820
3070,DB01607,D020820
3071,DB00313,D020820
3072,DB01080,D020820
3073,DB00459,D055154
3074,DB00443,D055154
3075,DB01222,D055154
3076,DB00537,D055154
3077,DB01234,D055154
3078,DB00390,D055154
3079,DB00320,D055154
3080,DB00472,D055154
3081,DB00709,D055154
3082,DB00281,D055154
3083,DB00959,D055154
3084,DB00334,D055154
3085,DB00715,D055154
3086,DB00790,D055154
3087,DB00376,D055154
3088,DB00313,D055154
3089,DB00541,D055154
3090,DB00246,D055154
3091,DB00509,D020920
3092,DB00502,D020920
3093,DB00328,D020920
3094,DB00960,D020920
3095,DB00734,D020920
3096,DB11094,D020920
3097,DB00819,D004421
3098,DB00802,D004421
3099,DB06288,D004421
3100,DB00321,D004421
3101,DB01351,D004421
3102,DB00543,D004421
3103,DB00182,D004421
3104,DB00714,D004421
3105,DB01238,D004421
3106,DB00181,D004421
3107,DB06698,D004421
3108,DB01019,D004421
3109,DB00810,D004421
3110,DB01558,D004421
3111,DB01200,D004421
3112,DB01156,D004421
3113,DB00490,D004421
3114,DB09061,D004421
3115,DB01101,D004421
3116,DB00564,D004421
3117,DB01413,D004421
3118,DB00341,D004421
3119,DB00608,D004421
3120,DB00477,D004421
3121,DB00501,D004421
3122,DB00604,D004421
3123,DB00215,D004421
3124,DB01242,D004421
3125,DB01068,D004421
3126,DB00363,D004421
3127,DB00907,D004421
3128,DB00318,D004421
3129,DB01176,D004421
3130,DB01234,D004421
3131,DB01576,D004421
3132,DB00514,D004421
3133,DB00829,D004421
3134,DB01075,D004421
3135,DB00822,D004421
3136,DB01184,D004421
3137,DB00843,D004421
3138,DB01142,D004421
3139,DB00450,D004421
3140,DB06262,D004421
3141,DB00494,D004421
3142,DB00696,D004421
3143,DB00773,D004421
3144,DB00813,D004421
3145,DB01205,D004421
3146,DB00472,D004421
3147,DB00623,D004421
3148,DB04842,D004421
3149,DB00176,D004421
3150,DB00529,D004421
3151,DB00996,D004421
3152,DB00674,D004421
3153,DB01018,D004421
3154,DB00502,D004421
3155,DB01221,D004421
3156,DB00709,D004421
3157,DB00555,D004421
3158,DB01235,D004421
3159,DB00589,D004421
3160,DB14509,D004421
3161,DB00186,D004421
3162,DB00408,D004421
3163,DB00454,D004421
3164,DB00933,D004421
3165,DB01403,D004421
3166,DB09241,D004421
3167,DB00422,D004421
3168,DB00247,D004421
3169,DB01233,D004421
3170,DB00916,D004421
3171,DB06148,D004421
3172,DB00683,D004421
3173,DB00211,D004421
3174,DB00370,D004421
3175,DB00184,D004421
3176,DB00368,D004421
3177,DB00334,D004421
3178,DB00904,D004421
3179,DB01173,D004421
3180,DB01626,D004421
3181,DB00715,D004421
3182,DB01186,D004421
3183,DB04930,D004421
3184,DB00850,D004421
3185,DB00780,D004421
3186,DB01174,D004421
3187,DB00397,D004421
3188,DB00252,D004421
3189,DB00981,D004421
3190,DB01100,D004421
3191,DB00413,D004421
3192,DB00433,D004421
3193,DB00387,D004421
3194,DB01069,D004421
3195,DB00818,D004421
3196,DB00571,D004421
3197,DB00165,D004421
3198,DB00468,D004421
3199,DB00863,D004421
3200,DB00734,D004421
3201,DB00989,D004421
3202,DB01104,D004421
3203,DB01236,D004421
3204,DB00202,D004421
3205,DB00391,D004421
3206,DB00669,D004421
3207,DB04844,D004421
3208,DB00372,D004421
3209,DB00599,D004421
3210,DB00679,D004421
3211,DB01623,D004421
3212,DB00656,D004421
3213,DB00831,D004421
3214,DB00376,D004421
3215,DB00313,D004421
3216,DB00246,D004421
3217,DB00502,D004422
3218,DB00387,D004422
3219,DB04844,D004422
3220,DB00810,D020821
3221,DB00490,D020821
3222,DB00477,D020821
3223,DB00215,D020821
3224,DB01068,D020821
3225,DB00363,D020821
3226,DB00829,D020821
3227,DB01075,D020821
3228,DB00843,D020821
3229,DB00450,D020821
3230,DB00623,D020821
3231,DB00502,D020821
3232,DB14509,D020821
3233,DB01233,D020821
3234,DB00683,D020821
3235,DB00184,D020821
3236,DB00334,D020821
3237,DB00981,D020821
3238,DB00433,D020821
3239,DB01069,D020821
3240,DB00818,D020821
3241,DB00734,D020821
3242,DB00989,D020821
3243,DB04844,D020821
3244,DB00376,D020821
3245,DB01080,D020821
3246,DB00246,D020821
3247,DB00422,D004454
3248,DB01165,D004454
3249,DB01200,D004652
3250,DB00787,D004660
3251,DB09121,D004660
3252,DB00355,D004660
3253,DB00987,D004660
3254,DB00711,D004660
3255,DB04173,D004660
3256,DB01004,D004660
3257,DB00400,D004660
3258,DB00677,D004660
3259,DB00848,D004660
3260,DB01065,D004660
3261,DB00563,D004660
3262,DB00738,D004660
3263,DB00981,D004660
3264,DB01069,D004660
3265,DB00205,D004660
3266,DB00359,D004660
3267,DB00864,D004660
3268,DB00152,D004660
3269,DB00440,D004660
3270,DB00787,D020803
3271,DB00445,D020803
3272,DB00529,D020803
3273,DB00787,D018792
3274,DB00987,D004677
3275,DB00794,D004677
3276,DB01041,D004677
3277,DB00515,D004678
3278,DB00907,D004678
3279,DB00997,D004678
3280,DB00471,D004678
3281,DB00563,D004679
3282,DB00907,D004673
3283,DB00959,D004673
3284,DB00295,D004673
3285,DB00182,D004681
3286,DB14083,D004681
3287,DB00136,D004681
3288,DB09061,D004681
3289,DB00564,D004681
3290,DB00907,D004681
3291,DB00531,D004681
3292,DB01234,D004681
3293,DB00783,D004681
3294,DB04573,D004681
3295,DB04854,D004681
3296,DB01195,D004681
3297,DB00741,D004681
3298,DB00959,D004681
3299,DB01017,D004681
3300,DB01204,D004681
3301,DB00435,D004681
3302,DB00252,D004681
3303,DB00860,D004681
3304,DB00396,D004681
3305,DB01045,D004681
3306,DB00864,D004681
3307,DB00675,D004681
3308,DB01065,D004685
3309,DB00448,D016603
3310,DB01065,D016603
3311,DB00635,D016603
3312,DB01413,D020802
3313,DB00828,D020802
3314,DB00916,D020802
3315,DB01017,D020802
3316,DB00252,D017036
3317,DB00787,D004831
3318,DB00182,D004831
3319,DB00714,D004831
3320,DB00572,D004831
3321,DB09061,D004831
3322,DB00564,D004831
3323,DB01068,D004831
3324,DB00575,D004831
3325,DB00363,D004831
3326,DB00829,D004831
3327,DB00586,D004831
3328,DB00996,D004831
3329,DB00327,D004831
3330,DB00951,D004831
3331,DB01221,D004831
3332,DB00555,D004831
3333,DB01202,D004831
3334,DB01235,D004831
3335,DB14509,D004831
3336,DB00683,D004831
3337,DB00295,D004831
3338,DB01183,D004831
3339,DB00776,D004831
3340,DB01174,D004831
3341,DB00252,D004831
3342,DB00981,D004831
3343,DB00860,D004831
3344,DB01182,D004831
3345,DB00624,D004831
3346,DB00313,D004831
3347,DB00909,D004831
3348,DB01061,D004828
3349,DB00564,D004828
3350,DB00493,D004828
3351,DB01068,D004828
3352,DB00363,D004828
3353,DB00829,D004828
3354,DB00593,D004828
3355,DB00949,D004828
3356,DB00555,D004828
3357,DB01202,D004828
3358,DB14509,D004828
3359,DB00563,D004828
3360,DB00776,D004828
3361,DB01174,D004828
3362,DB00252,D004828
3363,DB01085,D004828
3364,DB00794,D004828
3365,DB08329,D004828
3366,DB00906,D004828
3367,DB00273,D004828
3368,DB00347,D004828
3369,DB00313,D004828
3370,DB00661,D004828
3371,DB01080,D004828
3372,DB00909,D004828
3373,DB00819,D004827
3374,DB00640,D004827
3375,DB00802,D004827
3376,DB00321,D004827
3377,DB00182,D004827
3378,DB00415,D004827
3379,DB00572,D004827
3380,DB00993,D004827
3381,DB05541,D004827
3382,DB00564,D004827
3383,DB00446,D004827
3384,DB00501,D004827
3385,DB00537,D004827
3386,DB00515,D004827
3387,DB00215,D004827
3388,DB01068,D004827
3389,DB00575,D004827
3390,DB01147,D004827
3391,DB00363,D004827
3392,DB00987,D004827
3393,DB01234,D004827
3394,DB01576,D004827
3395,DB00829,D004827
3396,DB00985,D004827
3397,DB00470,D004827
3398,DB00467,D004827
3399,DB00668,D004827
3400,DB00199,D004827
3401,DB00593,D004827
3402,DB00773,D004827
3403,DB00949,D004827
3404,DB01205,D004827
3405,DB00472,D004827
3406,DB00176,D004827
3407,DB00158,D004827
3408,DB00996,D004827
3409,DB02530,D004827
3410,DB00400,D004827
3411,DB00502,D004827
3412,DB01181,D004827
3413,DB00458,D004827
3414,DB01221,D004827
3415,DB01026,D004827
3416,DB00555,D004827
3417,DB01202,D004827
3418,DB00281,D004827
3419,DB00934,D004827
3420,DB00532,D004827
3421,DB00610,D004827
3422,DB00763,D004827
3423,DB00474,D004827
3424,DB00563,D004827
3425,DB00948,D004827
3426,DB00683,D004827
3427,DB00295,D004827
3428,DB01183,D004827
3429,DB04743,D004827
3430,DB01595,D004827
3431,DB00368,D004827
3432,DB00776,D004827
3433,DB00487,D004827
3434,DB00312,D004827
3435,DB08883,D004827
3436,DB00850,D004827
3437,DB01174,D004827
3438,DB00692,D004827
3439,DB00252,D004827
3440,DB01085,D004827
3441,DB11642,D004827
3442,DB00230,D004827
3443,DB00794,D004827
3444,DB00818,D004827
3445,DB00344,D004827
3446,DB06201,D004827
3447,DB01236,D004827
3448,DB09118,D004827
3449,DB08329,D004827
3450,DB01041,D004827
3451,DB00273,D004827
3452,DB00347,D004827
3453,DB00313,D004827
3454,DB01080,D004827
3455,DB00909,D004827
3456,DB00564,D004832
3457,DB01068,D004832
3458,DB00829,D004832
3459,DB00997,D004832
3460,DB00593,D004832
3461,DB00502,D004832
3462,DB01109,D004832
3463,DB00555,D004832
3464,DB00007,D004832
3465,DB01202,D004832
